Latitude (decimal degrees):	53.494
Longitude (decimal degrees):	9.974
Elevation (m):	7
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.6
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,1.92,2.07,0.0
20200101:0111,0.0,0.0,0.0,1.58,2.07,0.0
20200101:0211,0.0,0.0,0.0,1.75,2.07,0.0
20200101:0311,0.0,0.0,0.0,1.84,2.07,0.0
20200101:0411,0.0,0.0,0.0,1.85,2.0,0.0
20200101:0511,0.0,0.0,0.0,1.99,2.0,0.0
20200101:0611,0.0,0.0,0.0,1.76,2.0,0.0
20200101:0711,0.0,0.0,0.0,1.22,1.93,0.0
20200101:0811,25.94,64.45,2.95,0.9,1.86,0.0
20200101:0911,167.28,321.85,8.31,1.23,1.72,0.0
20200101:1011,244.19,465.53,11.9,1.77,1.79,0.0
20200101:1111,260.08,496.03,13.45,2.47,2.14,0.0
20200101:1211,238.1,454.51,12.81,2.88,2.28,0.0
20200101:1311,178.87,343.76,10.03,2.88,2.41,0.0
20200101:1411,62.28,132.19,5.36,2.35,2.28,0.0
20200101:1511,0.0,0.0,0.0,1.51,2.34,0.0
20200101:1611,0.0,0.0,0.0,0.76,2.34,0.0
20200101:1711,0.0,0.0,0.0,0.08,2.41,0.0
20200101:1811,0.0,0.0,0.0,-0.33,2.41,0.0
20200101:1911,0.0,0.0,0.0,-0.65,2.55,0.0
20200101:2011,0.0,0.0,0.0,-0.69,2.69,0.0
20200101:2111,0.0,0.0,0.0,-0.84,2.62,0.0
20200101:2211,0.0,0.0,0.0,-1.0,2.48,0.0
20200101:2311,0.0,0.0,0.0,-1.18,2.34,0.0
20200102:0011,0.0,0.0,0.0,-1.32,2.41,0.0
20200102:0111,0.0,0.0,0.0,-1.42,2.48,0.0
20200102:0211,0.0,0.0,0.0,-1.36,2.55,0.0
20200102:0311,0.0,0.0,0.0,-1.46,2.62,0.0
20200102:0411,0.0,0.0,0.0,-1.43,2.83,0.0
20200102:0511,0.0,0.0,0.0,-1.38,2.9,0.0
20200102:0611,0.0,0.0,0.0,-1.05,2.9,0.0
20200102:0711,0.0,0.0,0.0,-1.5,2.76,0.0
20200102:0811,41.16,92.75,2.98,-1.57,2.76,0.0
20200102:0911,214.12,403.08,8.36,-0.94,2.62,0.0
20200102:1011,290.22,544.52,11.97,-0.05,3.03,0.0
20200102:1111,237.62,445.03,13.53,0.32,3.52,0.0
20200102:1211,17.56,47.28,12.9,0.55,3.72,0.0
20200102:1311,9.58,30.59,10.14,0.56,3.79,0.0
20200102:1411,1.92,12.05,5.48,0.45,3.72,0.0
20200102:1511,0.0,0.0,0.0,0.32,3.66,0.0
20200102:1611,0.0,0.0,0.0,0.47,3.59,0.0
20200102:1711,0.0,0.0,0.0,1.08,3.38,0.0
20200102:1811,0.0,0.0,0.0,1.89,3.31,0.0
20200102:1911,0.0,0.0,0.0,1.23,3.59,0.0
20200102:2011,0.0,0.0,0.0,1.89,3.79,0.0
20200102:2111,0.0,0.0,0.0,2.45,4.0,0.0
20200102:2211,0.0,0.0,0.0,2.92,4.28,0.0
20200102:2311,0.0,0.0,0.0,3.29,4.55,0.0
20200103:0011,0.0,0.0,0.0,3.53,4.76,0.0
20200103:0111,0.0,0.0,0.0,3.71,4.76,0.0
20200103:0211,0.0,0.0,0.0,3.89,4.62,0.0
20200103:0311,0.0,0.0,0.0,4.1,4.48,0.0
20200103:0411,0.0,0.0,0.0,4.36,4.62,0.0
20200103:0511,0.0,0.0,0.0,4.61,4.76,0.0
20200103:0611,0.0,0.0,0.0,4.93,4.9,0.0
20200103:0711,0.0,0.0,0.0,5.52,5.03,0.0
20200103:0811,0.0,2.78,3.02,5.85,4.97,0.0
20200103:0911,25.12,63.28,8.41,6.11,4.9,0.0
20200103:1011,9.7,31.52,12.04,6.32,4.76,0.0
20200103:1111,17.93,49.14,13.62,6.61,4.76,0.0
20200103:1211,3.15,15.76,13.01,6.77,4.76,0.0
20200103:1311,1.84,12.05,10.26,7.0,4.76,0.0
20200103:1411,1.53,11.13,5.61,7.16,4.62,0.0
20200103:1511,0.0,0.0,0.0,7.28,4.34,0.0
20200103:1611,0.0,0.0,0.0,7.37,4.0,0.0
20200103:1711,0.0,0.0,0.0,7.08,3.45,0.0
20200103:1811,0.0,0.0,0.0,6.0,4.48,0.0
20200103:1911,0.0,0.0,0.0,5.72,4.14,0.0
20200103:2011,0.0,0.0,0.0,4.74,3.72,0.0
20200103:2111,0.0,0.0,0.0,4.24,3.59,0.0
20200103:2211,0.0,0.0,0.0,4.15,3.86,0.0
20200103:2311,0.0,0.0,0.0,4.44,4.21,0.0
20200104:0011,0.0,0.0,0.0,4.43,4.34,0.0
20200104:0111,0.0,0.0,0.0,4.02,4.55,0.0
20200104:0211,0.0,0.0,0.0,3.73,4.76,0.0
20200104:0311,0.0,0.0,0.0,3.92,5.03,0.0
20200104:0411,0.0,0.0,0.0,4.24,5.24,0.0
20200104:0511,0.0,0.0,0.0,4.47,5.45,0.0
20200104:0611,0.0,0.0,0.0,4.82,5.66,0.0
20200104:0711,0.0,0.0,0.0,4.77,5.79,0.0
20200104:0811,0.0,3.71,3.07,5.07,6.07,0.0
20200104:0911,6.91,25.03,8.47,5.39,6.28,0.0
20200104:1011,30.55,73.85,12.12,5.61,6.48,0.0
20200104:1111,9.73,31.52,13.72,6.02,6.76,0.0
20200104:1211,19.36,51.92,13.12,6.09,7.31,0.0
20200104:1311,68.25,143.18,10.38,5.1,6.34,0.0
20200104:1411,36.84,85.37,5.74,4.35,5.31,0.0
20200104:1511,0.0,0.0,0.0,4.1,5.1,0.0
