Latitude (decimal degrees):	50.677
Longitude (decimal degrees):	12.344
Elevation (m):	344
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-0.6,1.03,0.0
20200101:0110,0.0,0.0,0.0,-0.62,1.03,0.0
20200101:0210,0.0,0.0,0.0,-0.52,0.9,0.0
20200101:0310,0.0,0.0,0.0,-0.94,1.03,0.0
20200101:0410,0.0,0.0,0.0,-0.65,0.69,0.0
20200101:0510,0.0,0.0,0.0,-0.75,0.76,0.0
20200101:0610,0.0,0.0,0.0,-0.76,0.97,0.0
20200101:0710,0.0,0.0,0.0,-1.02,1.31,0.0
20200101:0810,270.77,301.04,5.99,-0.92,1.17,0.0
20200101:0910,504.99,552.74,11.46,-0.11,1.24,0.0
20200101:1010,617.57,681.76,15.01,0.41,1.38,0.0
20200101:1110,634.94,706.67,16.31,1.25,1.24,0.0
20200101:1210,601.98,669.87,15.25,1.94,1.24,0.0
20200101:1310,511.75,565.79,11.93,2.3,1.38,0.0
20200101:1410,320.71,356.59,6.64,1.68,1.66,0.0
20200101:1510,0.0,0.0,0.0,0.35,2.07,0.0
20200101:1610,0.0,0.0,0.0,-0.74,2.28,0.0
20200101:1710,0.0,0.0,0.0,-1.21,2.48,0.0
20200101:1810,0.0,0.0,0.0,-1.31,2.62,0.0
20200101:1910,0.0,0.0,0.0,-0.86,2.55,0.0
20200101:2010,0.0,0.0,0.0,-0.65,2.69,0.0
20200101:2110,0.0,0.0,0.0,-0.34,2.83,0.0
20200101:2210,0.0,0.0,0.0,-0.08,2.9,0.0
20200101:2310,0.0,0.0,0.0,0.04,2.83,0.0
20200102:0010,0.0,0.0,0.0,0.03,2.69,0.0
20200102:0110,0.0,0.0,0.0,-0.08,2.48,0.0
20200102:0210,0.0,0.0,0.0,-0.36,2.34,0.0
20200102:0310,0.0,0.0,0.0,-0.67,2.34,0.0
20200102:0410,0.0,0.0,0.0,-0.93,2.34,0.0
20200102:0510,0.0,0.0,0.0,-1.21,2.28,0.0
20200102:0610,0.0,0.0,0.0,-1.36,2.34,0.0
20200102:0710,0.0,0.0,0.0,-1.45,2.55,0.0
