Latitude (decimal degrees):	50.776
Longitude (decimal degrees):	7.118
Elevation (m):	48
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,1.38,2.97,0.0
20200101:0110,0.0,0.0,0.0,1.11,2.97,0.0
20200101:0210,0.0,0.0,0.0,0.75,2.9,0.0
20200101:0310,0.0,0.0,0.0,0.32,3.03,0.0
20200101:0410,0.0,0.0,0.0,-0.03,2.97,0.0
20200101:0510,0.0,0.0,0.0,-0.07,2.69,0.0
20200101:0610,0.0,0.0,0.0,-0.22,2.76,0.0
20200101:0710,0.0,0.0,0.0,0.21,3.24,0.0
20200101:0810,41.5,60.01,3.64,0.02,3.24,0.0
20200101:0910,68.62,88.87,9.68,0.59,3.1,0.0
20200101:1010,172.31,196.5,13.92,1.44,3.31,0.0
20200101:1110,339.92,371.13,16.02,2.5,3.31,0.0
20200101:1210,576.65,632.33,15.79,3.43,3.1,0.0
20200101:1310,540.76,594.63,13.23,3.98,2.9,0.0
20200101:1410,377.35,417.37,8.6,3.83,2.55,0.0
20200101:1510,0.0,0.0,0.0,3.04,2.69,0.0
20200101:1610,0.0,0.0,0.0,1.84,2.76,0.0
20200101:1710,0.0,0.0,0.0,1.0,2.76,0.0
20200101:1810,0.0,0.0,0.0,0.47,2.69,0.0
20200101:1910,0.0,0.0,0.0,0.23,2.83,0.0
20200101:2010,0.0,0.0,0.0,0.05,2.76,0.0
20200101:2110,0.0,0.0,0.0,-0.09,2.76,0.0
20200101:2210,0.0,0.0,0.0,-0.23,2.55,0.0
20200101:2310,0.0,0.0,0.0,-0.4,2.34,0.0
20200102:0010,0.0,0.0,0.0,-0.59,2.28,0.0
20200102:0110,0.0,0.0,0.0,-0.74,2.28,0.0
20200102:0210,0.0,0.0,0.0,-0.73,2.21,0.0
20200102:0310,0.0,0.0,0.0,-0.67,2.14,0.0
20200102:0410,0.0,0.0,0.0,-0.49,2.0,0.0
20200102:0510,0.0,0.0,0.0,-0.35,2.07,0.0
20200102:0610,0.0,0.0,0.0,-0.03,2.07,0.0
20200102:0710,0.0,0.0,0.0,-0.83,2.48,0.0
20200102:0810,12.63,25.37,3.66,-0.72,2.48,0.0
20200102:0910,55.63,74.98,9.72,0.46,2.34,0.0
20200102:1010,245.12,271.8,13.98,1.61,2.55,0.0
20200102:1110,320.69,351.28,16.1,2.27,2.76,0.0
20200102:1210,128.94,153.35,15.88,2.96,2.9,0.0
20200102:1310,111.32,134.97,13.34,3.3,3.1,0.0
20200102:1410,36.56,54.58,8.72,3.6,3.1,0.0
20200102:1510,7.52,18.87,2.38,3.48,3.24,0.0
20200102:1610,0.0,0.0,0.0,3.26,3.38,0.0
20200102:1710,0.0,0.0,0.0,3.59,3.45,0.0
20200102:1810,0.0,0.0,0.0,3.71,3.45,0.0
20200102:1910,0.0,0.0,0.0,3.47,3.31,0.0
20200102:2010,0.0,0.0,0.0,3.52,3.31,0.0
20200102:2110,0.0,0.0,0.0,3.78,3.31,0.0
20200102:2210,0.0,0.0,0.0,3.92,3.45,0.0
20200102:2310,0.0,0.0,0.0,4.19,3.59,0.0
20200103:0010,0.0,0.0,0.0,4.39,3.45,0.0
20200103:0110,0.0,0.0,0.0,4.75,3.24,0.0
