Latitude (decimal degrees):	37.362
Longitude (decimal degrees):	13.336
Elevation (m):	11
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0009,0.0,0.0,0.0,5.76,2.69,0.0
20200101:0109,0.0,0.0,0.0,5.57,2.69,0.0
20200101:0209,0.0,0.0,0.0,5.71,2.76,0.0
20200101:0309,0.0,0.0,0.0,6.98,2.76,0.0
20200101:0409,0.0,0.0,0.0,6.75,2.9,0.0
20200101:0509,0.0,0.0,0.0,7.01,2.97,0.0
20200101:0609,0.0,0.0,0.0,7.15,2.97,0.0
20200101:0709,210.07,247.79,7.37,7.48,3.24,0.0
20200101:0809,433.34,488.07,16.25,9.5,3.52,0.0
20200101:0909,299.96,342.36,23.34,10.36,3.52,0.0
20200101:1009,589.04,673.6,27.99,12.03,3.66,0.0
20200101:1109,774.79,901.18,29.63,12.8,4.0,0.0
20200101:1209,782.15,908.91,28.0,13.25,4.28,0.0
20200101:1309,681.31,783.53,23.36,13.5,4.41,0.0
20200101:1409,485.36,553.78,16.28,13.51,4.62,0.0
20200101:1509,212.0,255.86,7.4,13.22,3.93,0.0
20200101:1609,0.0,0.0,0.0,12.42,3.17,0.0
20200101:1709,0.0,0.0,0.0,10.5,2.97,0.0
20200101:1809,0.0,0.0,0.0,9.7,3.24,0.0
20200101:1909,0.0,0.0,0.0,9.36,3.52,0.0
20200101:2009,0.0,0.0,0.0,8.73,3.66,0.0
20200101:2109,0.0,0.0,0.0,8.27,3.66,0.0
20200101:2209,0.0,0.0,0.0,7.58,3.24,0.0
20200101:2309,0.0,0.0,0.0,7.33,3.1,0.0
20200102:0009,0.0,0.0,0.0,7.72,2.97,0.0
20200102:0109,0.0,0.0,0.0,6.89,2.83,0.0
20200102:0209,0.0,0.0,0.0,6.66,2.62,0.0
20200102:0309,0.0,0.0,0.0,7.59,2.62,0.0
20200102:0409,0.0,0.0,0.0,7.14,2.62,0.0
20200102:0509,0.0,0.0,0.0,7.09,2.62,0.0
20200102:0609,0.0,0.0,0.0,7.12,2.69,0.0
20200102:0709,236.31,277.02,7.36,7.33,2.83,0.0
20200102:0809,501.25,566.58,16.26,9.27,2.97,0.0
20200102:0909,615.53,704.7,23.37,10.65,2.83,0.0
20200102:1009,759.19,886.28,28.05,13.08,3.59,0.0
20200102:1109,806.32,943.78,29.71,14.05,4.34,0.0
20200102:1209,790.9,926.14,28.11,14.64,4.34,0.0
20200102:1309,681.24,791.05,23.48,14.91,4.14,0.0
20200102:1409,482.63,555.82,16.41,14.65,3.93,0.0
20200102:1509,214.59,260.24,7.54,14.15,3.17,0.0
20200102:1609,0.0,0.0,0.0,12.15,2.83,0.0
20200102:1709,0.0,0.0,0.0,10.01,3.03,0.0
20200102:1809,0.0,0.0,0.0,8.99,2.9,0.0
20200102:1909,0.0,0.0,0.0,8.77,2.62,0.0
20200102:2009,0.0,0.0,0.0,8.15,2.21,0.0
20200102:2109,0.0,0.0,0.0,7.15,2.21,0.0
20200102:2209,0.0,0.0,0.0,6.15,2.28,0.0
20200102:2309,0.0,0.0,0.0,5.45,2.28,0.0
20200103:0009,0.0,0.0,0.0,5.72,2.14,0.0
