Latitude (decimal degrees):	48.061
Longitude (decimal degrees):	8.779
Elevation (m):	688
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-3.37,1.31,0.0
20200101:0110,0.0,0.0,0.0,-3.65,1.38,0.0
20200101:0210,0.0,0.0,0.0,-3.84,1.38,0.0
20200101:0310,0.0,0.0,0.0,-4.13,1.52,0.0
20200101:0410,0.0,0.0,0.0,-4.25,1.52,0.0
20200101:0510,0.0,0.0,0.0,-4.23,1.45,0.0
20200101:0610,0.0,0.0,0.0,-3.84,1.17,0.0
20200101:0710,0.0,0.0,0.0,-3.97,0.9,0.0
20200101:0810,287.89,316.87,6.3,-3.82,0.9,0.0
20200101:0910,527.59,579.05,12.53,-1.71,0.62,0.0
20200101:1010,623.13,700.23,16.83,1.02,0.55,0.0
20200101:1110,703.14,803.98,18.82,2.82,0.76,0.0
20200101:1210,668.82,762.99,18.29,3.89,0.9,0.0
20200101:1310,576.79,652.79,15.3,4.24,0.76,0.0
20200101:1410,393.35,441.86,10.15,3.92,0.55,0.0
20200101:1510,5.03,14.87,3.25,2.98,0.21,0.0
20200101:1610,0.0,0.0,0.0,1.94,0.07,0.0
20200101:1710,0.0,0.0,0.0,0.87,0.69,0.0
20200101:1810,0.0,0.0,0.0,-1.27,1.1,0.0
20200101:1910,0.0,0.0,0.0,-1.76,0.41,0.0
20200101:2010,0.0,0.0,0.0,-2.01,0.07,0.0
20200101:2110,0.0,0.0,0.0,-2.23,0.28,0.0
20200101:2210,0.0,0.0,0.0,-2.45,0.21,0.0
20200101:2310,0.0,0.0,0.0,-2.83,0.34,0.0
20200102:0010,0.0,0.0,0.0,-3.09,0.28,0.0
20200102:0110,0.0,0.0,0.0,-3.19,0.21,0.0
20200102:0210,0.0,0.0,0.0,-3.04,0.28,0.0
20200102:0310,0.0,0.0,0.0,-2.71,0.48,0.0
20200102:0410,0.0,0.0,0.0,-2.82,0.62,0.0
20200102:0510,0.0,0.0,0.0,-3.01,0.62,0.0
20200102:0610,0.0,0.0,0.0,-2.63,0.55,0.0
20200102:0710,0.0,0.0,0.0,-2.86,0.69,0.0
20200102:0810,239.8,267.81,6.32,-2.62,0.69,0.0
20200102:0910,453.82,496.52,12.57,-1.5,0.48,0.0
20200102:1010,556.74,620.57,16.89,1.36,0.62,0.0
20200102:1110,652.76,740.57,18.9,3.12,0.83,0.0
20200102:1210,623.24,706.79,18.39,4.3,0.97,0.0
20200102:1310,553.54,623.56,15.42,4.54,0.97,0.0
20200102:1410,400.27,447.07,10.27,4.04,1.17,0.0
20200102:1510,5.62,15.74,3.37,2.5,1.52,0.0
20200102:1610,0.0,0.0,0.0,0.71,1.45,0.0
20200102:1710,0.0,0.0,0.0,-0.69,1.24,0.0
20200102:1810,0.0,0.0,0.0,-0.64,1.17,0.0
20200102:1910,0.0,0.0,0.0,-2.74,1.59,0.0
20200102:2010,0.0,0.0,0.0,-2.8,1.79,0.0
20200102:2110,0.0,0.0,0.0,-2.81,1.93,0.0
20200102:2210,0.0,0.0,0.0,-2.67,1.86,0.0
20200102:2310,0.0,0.0,0.0,-2.42,1.79,0.0
20200103:0010,0.0,0.0,0.0,-2.02,1.66,0.0
20200103:0110,0.0,0.0,0.0,-1.44,1.66,0.0
20200103:0210,0.0,0.0,0.0,-0.81,1.79,0.0
20200103:0310,0.0,0.0,0.0,-0.95,1.93,0.0
20200103:0410,0.0,0.0,0.0,-0.96,1.93,0.0
20200103:0510,0.0,0.0,0.0,-0.63,2.0,0.0
20200103:0610,0.0,0.0,0.0,0.04,2.14,0.0
20200103:0710,0.0,0.0,0.0,-0.6,2.34,0.0
20200103:0810,5.1,14.83,6.35,0.3,2.48,0.0
20200103:0910,42.5,61.19,12.62,2.11,2.76,0.0
20200103:1010,279.22,310.14,16.96,3.94,3.17,0.0
20200103:1110,280.6,313.34,18.99,5.48,3.72,0.0
20200103:1210,303.05,337.28,18.5,6.1,4.21,0.0
20200103:1310,399.7,440.16,15.54,6.12,4.28,0.0
20200103:1410,12.71,25.96,10.4,5.73,4.0,0.0
20200103:1510,4.98,14.87,3.51,4.82,3.79,0.0
20200103:1610,0.0,0.0,0.0,4.17,3.59,0.0
20200103:1710,0.0,0.0,0.0,3.77,3.52,0.0
20200103:1810,0.0,0.0,0.0,3.7,3.45,0.0
20200103:1910,0.0,0.0,0.0,3.29,3.17,0.0
20200103:2010,0.0,0.0,0.0,3.02,3.24,0.0
20200103:2110,0.0,0.0,0.0,2.81,3.24,0.0
20200103:2210,0.0,0.0,0.0,2.8,3.31,0.0
20200103:2310,0.0,0.0,0.0,2.9,3.31,0.0
20200104:0010,0.0,0.0,0.0,2.9,3.17,0.0
20200104:0110,0.0,0.0,0.0,2.88,2.97,0.0
20200104:0210,0.0,0.0,0.0,2.9,2.62,0.0
20200104:0310,0.0,0.0,0.0,2.85,2.28,0.0
20200104:0410,0.0,0.0,0.0,2.75,2.0,0.0
20200104:0510,0.0,0.0,0.0,2.67,1.86,0.0
20200104:0610,0.0,0.0,0.0,2.61,1.86,0.0
20200104:0710,0.0,0.0,0.0,2.92,1.72,0.0
20200104:0810,11.51,24.1,6.38,2.79,1.66,0.0
20200104:0910,197.66,224.73,12.67,2.69,1.86,0.0
20200104:1010,347.42,380.73,17.03,2.61,2.62,0.0
20200104:1110,295.11,325.6,19.08,2.5,2.62,0.0
20200104:1210,337.61,369.69,18.61,2.58,3.03,0.0
20200104:1310,54.04,74.17,15.66,2.61,2.97,0.0
20200104:1410,11.53,24.1,10.53,2.55,2.97,0.0
20200104:1510,7.43,18.36,3.65,1.81,2.69,0.0
20200104:1610,0.0,0.0,0.0,1.1,2.69,0.0
20200104:1710,0.0,0.0,0.0,0.55,2.83,0.0
