Latitude (decimal degrees):	53.347
Longitude (decimal degrees):	7.125
Elevation (m):	1
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,2.5,1.17,0.0
20200101:0111,0.0,0.0,0.0,2.36,1.52,0.0
20200101:0211,0.0,0.0,0.0,1.64,2.21,0.0
20200101:0311,0.0,0.0,0.0,1.41,2.34,0.0
20200101:0411,0.0,0.0,0.0,1.35,2.34,0.0
20200101:0511,0.0,0.0,0.0,1.1,3.24,0.0
20200101:0611,0.0,0.0,0.0,0.96,3.1,0.0
20200101:0711,0.0,0.0,0.0,0.72,2.9,0.0
20200101:0811,0.0,0.0,0.0,0.3,2.9,0.0
20200101:0911,17.49,31.52,7.54,0.04,3.17,0.0
20200101:1011,28.3,44.5,11.51,0.02,3.38,0.0
20200101:1111,42.15,60.26,13.47,-0.07,3.45,0.0
20200101:1211,35.55,52.85,13.24,0.06,3.72,0.0
20200101:1311,19.73,34.3,10.85,0.18,3.79,0.0
20200101:1411,10.29,22.25,6.5,0.46,3.66,0.0
20200101:1511,0.0,0.0,0.0,0.26,3.31,0.0
20200101:1611,0.0,0.0,0.0,-0.05,3.59,0.0
20200101:1711,0.0,0.0,0.0,-0.26,3.79,0.0
20200101:1811,0.0,0.0,0.0,-0.49,4.14,0.0
20200101:1911,0.0,0.0,0.0,-0.65,4.14,0.0
20200101:2011,0.0,0.0,0.0,-0.65,4.34,0.0
20200101:2111,0.0,0.0,0.0,-0.4,4.34,0.0
20200101:2211,0.0,0.0,0.0,-0.56,3.93,0.0
20200101:2311,0.0,0.0,0.0,-0.3,4.21,0.0
20200102:0011,0.0,0.0,0.0,-0.24,3.93,0.0
20200102:0111,0.0,0.0,0.0,-0.27,4.48,0.0
20200102:0211,0.0,0.0,0.0,-0.3,4.9,0.0
20200102:0311,0.0,0.0,0.0,-0.15,4.55,0.0
20200102:0411,0.0,0.0,0.0,-0.16,4.9,0.0
20200102:0511,0.0,0.0,0.0,-0.12,5.17,0.0
20200102:0611,0.0,0.0,0.0,-0.02,6.0,0.0
20200102:0711,0.0,0.0,0.0,-0.04,5.86,0.0
20200102:0811,0.0,0.0,0.0,0.02,5.66,0.0
20200102:0911,11.69,24.1,7.58,0.28,5.79,0.0
20200102:1011,17.48,31.52,11.57,0.27,5.66,0.0
20200102:1111,23.55,38.94,13.55,0.52,5.72,0.0
20200102:1211,41.96,60.26,13.34,1.11,5.66,0.0
20200102:1311,24.98,40.79,10.96,1.46,5.38,0.0
20200102:1411,13.0,25.96,6.62,1.74,5.72,0.0
20200102:1511,0.0,0.0,0.0,2.0,6.48,0.0
20200102:1611,0.0,0.0,0.0,2.21,6.48,0.0
20200102:1711,0.0,0.0,0.0,2.42,6.83,0.0
20200102:1811,0.0,0.0,0.0,2.74,6.97,0.0
20200102:1911,0.0,0.0,0.0,3.24,7.03,0.0
20200102:2011,0.0,0.0,0.0,3.88,7.38,0.0
20200102:2111,0.0,0.0,0.0,4.37,7.66,0.0
20200102:2211,0.0,0.0,0.0,4.75,7.79,0.0
20200102:2311,0.0,0.0,0.0,5.25,7.86,0.0
20200103:0011,0.0,0.0,0.0,5.76,8.07,0.0
20200103:0111,0.0,0.0,0.0,6.28,8.21,0.0
20200103:0211,0.0,0.0,0.0,6.7,8.14,0.0
20200103:0311,0.0,0.0,0.0,7.12,8.07,0.0
20200103:0411,0.0,0.0,0.0,7.5,8.0,0.0
20200103:0511,0.0,0.0,0.0,7.67,8.14,0.0
20200103:0611,0.0,0.0,0.0,7.8,8.07,0.0
20200103:0711,0.0,0.0,0.0,7.89,7.66,0.0
20200103:0811,0.0,0.0,0.0,7.96,7.31,0.0
20200103:0911,1.19,8.34,7.63,8.08,7.1,0.0
20200103:1011,9.86,22.25,11.64,8.11,6.69,0.0
20200103:1111,12.55,25.96,13.63,8.11,6.14,0.0
20200103:1211,22.62,38.94,13.44,8.23,5.38,0.0
20200103:1311,25.64,42.65,11.07,8.22,4.76,0.0
20200103:1411,4.29,13.91,6.74,7.99,4.28,0.0
20200103:1511,0.0,0.0,0.0,6.94,6.83,0.0
20200103:1611,0.0,0.0,0.0,6.32,7.03,0.0
20200103:1711,0.0,0.0,0.0,6.5,6.41,0.0
20200103:1811,0.0,0.0,0.0,6.3,5.72,0.0
20200103:1911,0.0,0.0,0.0,6.03,5.72,0.0
20200103:2011,0.0,0.0,0.0,5.97,5.93,0.0
20200103:2111,0.0,0.0,0.0,5.82,6.14,0.0
20200103:2211,0.0,0.0,0.0,5.36,6.28,0.0
20200103:2311,0.0,0.0,0.0,5.16,6.62,0.0
20200104:0011,0.0,0.0,0.0,5.03,6.83,0.0
20200104:0111,0.0,0.0,0.0,5.28,7.03,0.0
20200104:0211,0.0,0.0,0.0,5.54,7.24,0.0
20200104:0311,0.0,0.0,0.0,5.53,7.45,0.0
20200104:0411,0.0,0.0,0.0,5.71,7.93,0.0
20200104:0511,0.0,0.0,0.0,5.94,8.21,0.0
20200104:0611,0.0,0.0,0.0,6.28,8.69,0.0
20200104:0711,0.0,0.0,0.0,6.77,8.9,0.0
20200104:0811,0.0,0.0,0.0,7.02,9.1,0.0
