Latitude (decimal degrees):	48.023
Longitude (decimal degrees):	7.831
Elevation (m):	239
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-1.36,1.93,0.0
20200101:0110,0.0,0.0,0.0,-1.53,1.45,0.0
20200101:0210,0.0,0.0,0.0,-1.75,1.38,0.0
20200101:0310,0.0,0.0,0.0,-1.87,1.38,0.0
20200101:0410,0.0,0.0,0.0,-1.95,1.45,0.0
20200101:0510,0.0,0.0,0.0,-2.02,1.31,0.0
20200101:0610,0.0,0.0,0.0,-2.15,1.24,0.0
20200101:0710,0.0,0.0,0.0,-2.82,1.17,0.0
20200101:0810,126.64,149.58,5.88,-2.49,1.1,0.0
20200101:0910,239.25,265.82,12.22,-0.33,0.97,0.0
20200101:1010,242.07,272.23,16.66,2.29,0.69,0.0
20200101:1110,319.68,359.1,18.81,4.17,0.41,0.0
20200101:1210,280.61,318.58,18.44,5.1,0.14,0.0
20200101:1310,214.31,246.97,15.6,5.27,0.07,0.0
20200101:1410,68.54,90.79,10.56,4.91,0.14,0.0
20200101:1510,25.59,42.36,3.75,3.67,0.55,0.0
20200101:1610,0.0,0.0,0.0,2.0,0.9,0.0
20200101:1710,0.0,0.0,0.0,0.55,1.03,0.0
20200101:1810,0.0,0.0,0.0,-0.48,1.1,0.0
20200101:1910,0.0,0.0,0.0,-2.29,1.31,0.0
20200101:2010,0.0,0.0,0.0,-2.44,1.31,0.0
20200101:2110,0.0,0.0,0.0,-2.47,1.17,0.0
20200101:2210,0.0,0.0,0.0,-2.26,1.03,0.0
20200101:2310,0.0,0.0,0.0,-2.08,0.97,0.0
20200102:0010,0.0,0.0,0.0,-2.16,0.97,0.0
20200102:0110,0.0,0.0,0.0,-2.07,0.9,0.0
20200102:0210,0.0,0.0,0.0,-2.01,0.9,0.0
20200102:0310,0.0,0.0,0.0,-1.99,0.97,0.0
20200102:0410,0.0,0.0,0.0,-2.13,0.97,0.0
20200102:0510,0.0,0.0,0.0,-2.24,1.03,0.0
20200102:0610,0.0,0.0,0.0,-2.24,1.03,0.0
20200102:0710,0.0,0.0,0.0,-2.69,1.24,0.0
20200102:0810,124.58,147.51,5.9,-2.3,1.24,0.0
20200102:0910,337.3,369.28,12.26,-0.35,0.97,0.0
20200102:1010,447.35,495.48,16.72,2.9,1.03,0.0
20200102:1110,493.76,551.74,18.89,4.49,1.17,0.0
20200102:1210,593.91,672.22,18.54,5.46,1.24,0.0
20200102:1310,438.18,490.75,15.71,5.86,1.31,0.0
20200102:1410,68.34,90.54,10.68,5.35,1.31,0.0
20200102:1510,141.52,171.96,3.88,3.94,1.66,0.0
20200102:1610,0.0,0.0,0.0,2.2,1.79,0.0
20200102:1710,0.0,0.0,0.0,1.13,1.79,0.0
20200102:1810,0.0,0.0,0.0,0.35,1.79,0.0
20200102:1910,0.0,0.0,0.0,-0.54,1.86,0.0
20200102:2010,0.0,0.0,0.0,-0.52,1.93,0.0
20200102:2110,0.0,0.0,0.0,-0.47,1.93,0.0
20200102:2210,0.0,0.0,0.0,-0.49,1.93,0.0
20200102:2310,0.0,0.0,0.0,-0.4,1.93,0.0
20200103:0010,0.0,0.0,0.0,0.2,1.86,0.0
20200103:0110,0.0,0.0,0.0,0.9,1.93,0.0
20200103:0210,0.0,0.0,0.0,1.13,2.07,0.0
20200103:0310,0.0,0.0,0.0,1.0,2.07,0.0
20200103:0410,0.0,0.0,0.0,1.25,2.07,0.0
20200103:0510,0.0,0.0,0.0,1.56,2.14,0.0
20200103:0610,0.0,0.0,0.0,2.11,2.28,0.0
20200103:0710,0.0,0.0,0.0,1.67,2.34,0.0
20200103:0810,32.03,49.36,5.93,2.67,2.48,0.0
20200103:0910,267.45,298.61,12.3,4.03,2.62,0.0
20200103:1010,419.46,462.01,16.78,4.99,2.97,0.0
