Latitude (decimal degrees):	48.160
Longitude (decimal degrees):	11.493
Elevation (m):	526
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-0.71,0.62,0.0
20200101:0110,0.0,0.0,0.0,-1.42,0.97,0.0
20200101:0210,0.0,0.0,0.0,-2.01,1.31,0.0
20200101:0310,0.0,0.0,0.0,-2.18,1.38,0.0
20200101:0410,0.0,0.0,0.0,-2.51,1.31,0.0
20200101:0510,0.0,0.0,0.0,-2.7,1.24,0.0
20200101:0610,0.0,0.0,0.0,-2.78,1.24,0.0
20200101:0710,0.0,0.0,0.0,-2.63,1.31,0.0
20200101:0810,355.11,388.27,7.48,-2.19,1.38,0.0
20200101:0910,564.68,622.54,13.38,0.22,1.17,0.0
20200101:1010,675.26,757.34,17.28,2.08,1.38,0.0
20200101:1110,708.74,802.69,18.82,3.51,1.52,0.0
20200101:1210,667.45,754.44,17.83,4.38,1.59,0.0
20200101:1310,570.07,638.37,14.43,4.66,1.66,0.0
20200101:1410,415.13,462.73,8.94,3.96,1.79,0.0
20200101:1510,0.0,0.0,0.0,2.39,2.28,0.0
20200101:1610,0.0,0.0,0.0,1.02,2.28,0.0
20200101:1710,0.0,0.0,0.0,0.27,2.07,0.0
20200101:1810,0.0,0.0,0.0,-0.24,1.79,0.0
20200101:1910,0.0,0.0,0.0,-1.46,1.45,0.0
20200101:2010,0.0,0.0,0.0,-1.84,1.38,0.0
20200101:2110,0.0,0.0,0.0,-1.85,1.24,0.0
20200101:2210,0.0,0.0,0.0,-0.3,0.83,0.0
20200101:2310,0.0,0.0,0.0,-0.13,0.14,0.0
20200102:0010,0.0,0.0,0.0,-0.26,0.62,0.0
20200102:0110,0.0,0.0,0.0,-0.9,0.62,0.0
20200102:0210,0.0,0.0,0.0,-1.22,0.62,0.0
20200102:0310,0.0,0.0,0.0,-1.51,0.69,0.0
20200102:0410,0.0,0.0,0.0,-1.76,0.69,0.0
20200102:0510,0.0,0.0,0.0,-2.02,0.76,0.0
20200102:0610,0.0,0.0,0.0,-2.28,0.83,0.0
20200102:0710,0.0,0.0,0.0,-2.4,1.03,0.0
20200102:0810,326.27,358.54,7.5,-2.16,0.9,0.0
20200102:0910,543.64,600.98,13.42,0.09,0.76,0.0
20200102:1010,668.21,756.52,17.34,2.05,0.76,0.0
20200102:1110,696.91,801.47,18.9,3.88,0.69,0.0
20200102:1210,662.12,761.17,17.93,4.61,0.62,0.0
20200102:1310,560.74,636.87,14.55,4.88,0.62,0.0
20200102:1410,412.32,465.62,9.06,4.49,0.62,0.0
20200102:1510,0.0,0.0,0.0,3.32,0.69,0.0
20200102:1610,0.0,0.0,0.0,1.32,0.83,0.0
20200102:1710,0.0,0.0,0.0,-0.2,1.03,0.0
20200102:1810,0.0,0.0,0.0,-1.52,1.1,0.0
20200102:1910,0.0,0.0,0.0,-0.23,0.83,0.0
20200102:2010,0.0,0.0,0.0,-1.09,1.17,0.0
20200102:2110,0.0,0.0,0.0,-1.28,1.24,0.0
20200102:2210,0.0,0.0,0.0,-1.26,1.24,0.0
20200102:2310,0.0,0.0,0.0,-1.5,1.31,0.0
20200103:0010,0.0,0.0,0.0,-2.02,1.52,0.0
20200103:0110,0.0,0.0,0.0,-2.05,1.59,0.0
20200103:0210,0.0,0.0,0.0,-2.29,1.66,0.0
20200103:0310,0.0,0.0,0.0,-2.43,1.72,0.0
20200103:0410,0.0,0.0,0.0,-2.28,1.66,0.0
20200103:0510,0.0,0.0,0.0,-1.71,1.45,0.0
20200103:0610,0.0,0.0,0.0,-1.69,1.45,0.0
20200103:0710,0.0,0.0,0.0,-2.15,1.72,0.0
20200103:0810,323.47,354.51,7.53,-1.7,1.66,0.0
20200103:0910,545.26,600.06,13.47,0.86,1.38,0.0
20200103:1010,622.7,701.21,17.41,3.62,1.17,0.0
20200103:1110,711.69,819.31,18.99,5.87,1.24,0.0
20200103:1210,404.2,454.21,18.04,7.28,1.66,0.0
20200103:1310,440.45,492.5,14.67,7.47,2.48,0.0
20200103:1410,107.9,133.54,9.19,6.98,3.31,0.0
20200103:1510,0.0,0.0,0.0,5.68,3.52,0.0
20200103:1610,0.0,0.0,0.0,4.65,3.52,0.0
20200103:1710,0.0,0.0,0.0,4.35,3.72,0.0
20200103:1810,0.0,0.0,0.0,4.5,4.0,0.0
20200103:1910,0.0,0.0,0.0,4.46,4.0,0.0
20200103:2010,0.0,0.0,0.0,4.6,4.28,0.0
20200103:2110,0.0,0.0,0.0,4.44,4.34,0.0
20200103:2210,0.0,0.0,0.0,4.13,4.28,0.0
20200103:2310,0.0,0.0,0.0,4.37,4.41,0.0
20200104:0010,0.0,0.0,0.0,4.32,4.48,0.0
20200104:0110,0.0,0.0,0.0,4.09,4.48,0.0
20200104:0210,0.0,0.0,0.0,3.86,4.41,0.0
20200104:0310,0.0,0.0,0.0,3.81,4.21,0.0
20200104:0410,0.0,0.0,0.0,3.69,4.07,0.0
20200104:0510,0.0,0.0,0.0,3.7,3.79,0.0
20200104:0610,0.0,0.0,0.0,3.65,3.66,0.0
20200104:0710,0.0,0.0,0.0,4.06,3.52,0.0
20200104:0810,13.54,26.89,7.57,3.88,2.97,0.0
20200104:0910,46.29,65.82,13.53,3.66,2.83,0.0
20200104:1010,61.35,82.51,17.49,3.41,2.34,0.0
20200104:1110,83.94,106.75,19.09,2.87,2.34,0.0
20200104:1210,49.9,69.53,18.16,2.36,2.55,0.0
20200104:1310,111.55,134.89,14.8,2.31,3.45,0.0
