Latitude (decimal degrees):	54.100
Longitude (decimal degrees):	12.143
Elevation (m):	9
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,1.91,3.52,0.0
20200101:0111,0.0,0.0,0.0,1.91,3.24,0.0
20200101:0211,0.0,0.0,0.0,1.71,3.03,0.0
20200101:0311,0.0,0.0,0.0,1.6,3.1,0.0
20200101:0411,0.0,0.0,0.0,1.75,3.24,0.0
20200101:0511,0.0,0.0,0.0,2.15,3.24,0.0
20200101:0611,0.0,0.0,0.0,2.23,3.17,0.0
20200101:0711,0.0,0.0,0.0,2.31,3.45,0.0
20200101:0811,11.91,24.62,3.37,2.39,3.38,0.0
20200101:0911,45.58,64.53,8.42,3.01,3.45,0.0
20200101:1011,44.38,63.47,11.68,3.4,3.52,0.0
20200101:1111,50.74,70.68,12.89,3.77,3.66,0.0
20200101:1211,320.73,351.74,11.94,3.94,4.14,0.0
20200101:1311,35.19,53.09,8.92,3.89,3.86,0.0
20200101:1411,6.85,17.62,4.08,3.38,3.86,0.0
20200101:1511,0.0,0.0,0.0,2.75,4.0,0.0
20200101:1611,0.0,0.0,0.0,2.09,4.0,0.0
20200101:1711,0.0,0.0,0.0,1.46,3.79,0.0
20200101:1811,0.0,0.0,0.0,1.13,3.59,0.0
20200101:1911,0.0,0.0,0.0,0.34,3.24,0.0
20200101:2011,0.0,0.0,0.0,-0.11,3.17,0.0
20200101:2111,0.0,0.0,0.0,-0.57,2.69,0.0
20200101:2211,0.0,0.0,0.0,-0.97,2.62,0.0
20200101:2311,0.0,0.0,0.0,-1.2,2.83,0.0
20200102:0011,0.0,0.0,0.0,-1.26,2.9,0.0
20200102:0111,0.0,0.0,0.0,-1.37,3.17,0.0
20200102:0211,0.0,0.0,0.0,-1.33,3.38,0.0
20200102:0311,0.0,0.0,0.0,-1.29,3.31,0.0
20200102:0411,0.0,0.0,0.0,-1.29,3.17,0.0
20200102:0511,0.0,0.0,0.0,-1.44,3.24,0.0
20200102:0611,0.0,0.0,0.0,-1.47,3.52,0.0
20200102:0711,0.0,0.0,0.0,-1.49,3.59,0.0
20200102:0811,44.77,63.01,3.4,-1.39,3.72,0.0
20200102:0911,147.13,168.85,8.47,-0.66,3.79,0.0
20200102:1011,482.79,518.95,11.74,0.43,3.38,0.0
20200102:1111,560.98,605.02,12.97,1.31,3.79,0.0
20200102:1211,556.76,601.9,12.04,1.82,3.79,0.0
20200102:1311,238.68,264.34,9.03,1.84,4.0,0.0
20200102:1411,80.0,101.62,4.2,1.3,3.86,0.0
20200102:1511,0.0,0.0,0.0,0.36,4.0,0.0
20200102:1611,0.0,0.0,0.0,-0.11,4.34,0.0
20200102:1711,0.0,0.0,0.0,-0.03,4.62,0.0
20200102:1811,0.0,0.0,0.0,0.01,4.55,0.0
20200102:1911,0.0,0.0,0.0,-0.27,4.41,0.0
20200102:2011,0.0,0.0,0.0,0.08,4.48,0.0
20200102:2111,0.0,0.0,0.0,0.55,4.34,0.0
