Latitude (decimal degrees):	48.687
Longitude (decimal degrees):	9.198
Elevation (m):	388
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,-2.4,1.66,0.0
20200101:0110,0.0,0.0,0.0,-2.78,1.52,0.0
20200101:0210,0.0,0.0,0.0,-3.26,1.45,0.0
20200101:0310,0.0,0.0,0.0,-3.39,1.45,0.0
20200101:0410,0.0,0.0,0.0,-3.73,1.59,0.0
20200101:0510,0.0,0.0,0.0,-3.8,1.59,0.0
20200101:0610,0.0,0.0,0.0,-4.01,1.59,0.0
20200101:0710,0.0,0.0,0.0,-4.08,1.66,0.0
20200101:0810,249.76,276.06,6.05,-3.54,1.52,0.0
20200101:0910,493.89,537.33,12.15,-1.1,1.38,0.0
20200101:1010,628.24,696.6,16.33,0.94,1.38,0.0
20200101:1110,699.89,788.08,18.22,2.47,1.45,0.0
20200101:1210,686.49,775.32,17.63,3.42,1.45,0.0
20200101:1310,558.8,626.47,14.62,3.97,1.17,0.0
20200101:1410,391.58,437.73,9.48,3.72,1.03,0.0
20200101:1510,74.25,98.89,2.62,2.55,1.45,0.0
20200101:1610,0.0,0.0,0.0,0.53,1.72,0.0
20200101:1710,0.0,0.0,0.0,-1.35,1.79,0.0
20200101:1810,0.0,0.0,0.0,-2.42,1.79,0.0
20200101:1910,0.0,0.0,0.0,-3.01,1.66,0.0
20200101:2010,0.0,0.0,0.0,-3.6,1.59,0.0
20200101:2110,0.0,0.0,0.0,-3.88,1.45,0.0
20200101:2210,0.0,0.0,0.0,-4.04,1.45,0.0
20200101:2310,0.0,0.0,0.0,-4.15,1.45,0.0
20200102:0010,0.0,0.0,0.0,-4.24,1.38,0.0
20200102:0110,0.0,0.0,0.0,-4.28,1.38,0.0
20200102:0210,0.0,0.0,0.0,-4.21,1.38,0.0
20200102:0310,0.0,0.0,0.0,-4.04,1.38,0.0
20200102:0410,0.0,0.0,0.0,-3.89,1.38,0.0
