;Samstag;Sonntag;Werktag
0:15;80,2;93,4;77,8
0:30;75,1;86,8;69,6
0:45;70,7;81,2;62,4
1:00;66,6;75,7;56,6
1:15;62,3;70,1;52,5
1:30;58,0;64,5;49,7
1:45;54,1;59,3;47,9
2:00;50,8;54,9;46,6
2:15;48,4;51,7;45,5
2:30;46,8;49,4;44,5
2:45;45,7;47,8;43,8
3:00;44,9;46,6;43,3
3:15;44,4;45,5;43,0
3:30;43,9;44,5;43,0
3:45;43,5;43,8;43,1
4:00;43,3;43,3;43,3
4:15;43,1;43,1;43,4
4:30;43,1;43,1;43,7
4:45;43,1;43,2;44,2
5:00;43,3;43,3;44,9
5:15;43,6;43,3;46,3
5:30;44,2;43,3;48,9
5:45;45,4;43,2;53,7
6:00;47,4;43,3;61,6
6:15;50,5;43,5;72,9
6:30;54,9;44,3;86,3
6:45;60,7;46,0;100,1
7:00;68,2;49,1;112,4
7:15;77,5;53,9;121,8
7:30;87,9;60,4;128,5
7:45;98,6;68,8;132,9
8:00;109,0;79,1;135,7
8:15;118,4;91,1;137,2
8:30;126,7;104,3;137,7
8:45;133,8;118,0;137,7
9:00;139,8;131,5;137,3
9:15;144,7;144,2;136,9
9:30;148,8;155,5;136,4
9:45;152,4;165,3;135,7
10:00;155,6;173,1;134,8
10:15;158,9;178,8;133,7
10:30;162,0;183,1;132,4
10:45;164,9;187,0;131,4
11:00;167,3;191,4;130,7
11:15;169,2;197,0;130,6
11:30;170,8;203,0;131,5
11:45;172,5;208,5;133,6
12:00;174,8;212,2;137,3
12:15;177,7;213,5;142,6
12:30;180,8;211,8;148,2
12:45;183,1;207,0;152,8
13:00;183,9;198,9;154,8
13:15;182,7;187,6;153,2
13:30;179,8;174,6;148,9
13:45;175,8;161,7;143,2
14:00;171,5;150,6;137,3
14:15;167,2;142,8;132,4
14:30;163,1;137,6;128,4
14:45;159,2;133,9;124,8
15:00;155,6;130,7;121,5
15:15;152,3;127,1;118,1
15:30;149,5;123,1;114,8
15:45;147,2;119,0;111,7
16:00;145,7;114,9;109,0
16:15;145,0;111,0;106,9
16:30;145,4;107,7;105,7
16:45;146,7;105,6;105,5
17:00;149,0;104,9;106,5
17:15;152,3;106,0;109,1
17:30;156,4;108,8;113,1
17:45;161,5;113,2;118,3
18:00;167,3;119,0;124,8
18:15;173,7;126,0;132,4
18:30;180,4;133,7;140,6
18:45;186,7;141,5;149,1
19:00;192,3;149,0;157,3
19:15;196,5;155,5;164,9
19:30;199,0;160,6;171,1
19:45;199,4;163,6;175,2
20:00;197,3;164,0;176,5
20:15;192,4;161,5;174,5
20:30;185,2;157,1;170,5
20:45;176,6;152,2;165,7
21:00;167,3;148,2;161,5
21:15;157,9;145,9;158,9
21:30;149,5;144,7;157,2
21:45;142,9;143,6;155,4
22:00;139,0;141,5;152,3
22:15;138,3;137,5;147,2
22:30;139,2;131,8;140,3
22:45;139,5;124,7;132,1
23:00;137,3;116,5;123,2
23:15;131,1;107,6;114,0
23:30;121,9;98,4;104,8
23:45;111,5;89,2;95,6
0:00;101,5;80,7;86,6
