;Samstag;Sonntag;Werktag
0:15;89,8;100,1;86,3
0:30;84,9;92,5;76,9
0:45;80,7;85,9;68,8
1:00;76,6;79,9;62,4
1:15;71,7;74,1;58,0
1:30;66,6;68,7;55,3
1:45;61,6;63,9;53,6
2:00;57,4;59,9;52,4
2:15;54,5;57,0;51,3
2:30;52,6;55,0;50,3
2:45;51,4;53,5;49,2
3:00;50,8;52,4;48,3
3:15;50,3;51,5;47,5
3:30;50,0;50,8;46,9
3:45;49,9;50,2;46,5
4:00;49,9;49,9;46,6
4:15;50,1;49,9;47,1
4:30;50,4;50,0;48,0
4:45;50,7;50,1;49,3
5:00;50,8;49,9;50,8
5:15;50,8;49,5;52,7
5:30;50,9;48,9;55,6
5:45;51,6;48,4;60,5
6:00;53,3;48,3;68,2
6:15;56,2;48,7;79,2
6:30;60,4;49,8;92,0
6:45;65,8;51,9;104,7
7:00;72,4;54,9;115,7
7:15;80,0;59,2;123,5
7:30;88,5;64,9;128,6
7:45;97,4;72,3;132,0
8:00;106,5;81,6;134,8
8:15;115,6;92,9;137,8
8:30;124,4;105,6;140,7
8:45;132,8;119,0;143,2
9:00;140,7;132,3;144,8
9:15;147,8;144,8;145,3
9:30;154,0;156,2;144,9
9:45;158,9;166,0;143,8
10:00;162,3;174,0;142,3
10:15;164,1;180,0;140,8
10:30;164,7;184,6;139,5
10:45;165,0;188,7;138,5
11:00;165,6;193,1;138,2
11:15;167,1;198,3;138,6
11:30;169,4;203,7;140,1
11:45;172,4;208,7;142,6
12:00;175,6;212,2;146,5
12:15;179,0;213,7;151,5
12:30;181,9;212,8;156,7
12:45;183,7;209,0;160,7
13:00;183,9;202,3;162,3
13:15;182,1;192,4;160,5
13:30;178,7;180,9;156,1
13:45;174,1;169,2;150,2
14:00;169,0;159,0;144,0
14:15;163,7;151,4;138,4
14:30;158,9;146,0;133,6
14:45;154,6;141,6;129,4
15:00;151,5;137,3;125,7
15:15;149,6;132,4;122,4
15:30;148,6;127,0;119,6
15:45;148,0;121,6;117,4
16:00;147,3;116,5;115,7
16:15;146,2;112,2;114,6
16:30;145,0;108,9;114,2
16:45;144,1;106,7;114,6
17:00;144,0;105,7;115,7
17:15;144,9;106,1;117,6
17:30;146,9;107,7;120,3
17:45;150,0;110,4;123,9
18:00;154,0;114,0;128,2
18:15;158,8;118,3;133,2
18:30;164,0;123,4;138,9
18:45;169,2;129,2;145,1
19:00;174,0;135,7;151,5
19:15;177,8;142,8;157,9
19:30;180,5;149,8;163,8
19:45;181,8;155,7;168,3
20:00;181,4;159,8;170,6
20:15;179,3;161,4;170,4
20:30;175,7;160,8;168,3
20:45;171,0;159,0;165,3
21:00;165,6;156,5;162,3
21:15;160,1;153,9;160,1
21:30;155,1;151,5;158,4
21:45;151,1;149,3;156,8
22:00;149,0;147,3;154,8
22:15;148,9;145,4;151,9
22:30;149,6;143,0;147,9
22:45;149,4;139,2;142,5
23:00;146,5;133,2;135,7
23:15;139,8;124,4;127,2
23:30;130,3;113,8;117,5
23:45;119,5;102,5;107,1
0:00;109,0;91,6;96,5
