;Samstag;Sonntag;Werktag
0:15;70,8;87,5;67,6
0:30;68,2;81,1;60,8
0:45;65,9;75,0;54,9
1:00;63,3;69,1;49,9
1:15;59,5;63,4;46,2
1:30;55,0;58,2;43,6
1:45;50,5;53,6;41,9
2:00;46,6;49,9;40,8
2:15;43,9;47,3;40,1
2:30;42,3;45,5;39,6
2:45;41,4;44,2;39,4
3:00;40,8;43,3;39,1
3:15;40,3;42,4;38,8
3:30;39,9;41,5;38,6
3:45;39,5;40,7;38,3
4:00;39,1;40,0;38,3
4:15;38,8;39,3;38,4
4:30;38,5;38,8;38,8
4:45;38,3;38,5;39,3
5:00;38,3;38,3;40,0
5:15;38,5;38,3;40,9
5:30;39,1;38,4;43,1
5:45;40,3;38,7;47,7
6:00;42,4;39,1;55,8
6:15;45,6;39,7;68,0
6:30;49,9;40,4;82,8
6:45;55,3;41,3;98,0
7:00;61,6;42,4;111,5
7:15;68,9;44,0;121,6
7:30;77,1;46,6;128,5
7:45;86,1;51,1;132,7
8:00;95,7;58,3;134,8
8:15;105,8;68,6;135,4
8:30;115,8;81,3;134,8
8:45;124,9;95,2;133,1
9:00;132,3;109,0;130,7
9:15;137,6;121,9;127,7
9:30;141,1;133,7;124,6
9:45;143,3;144,4;121,5
10:00;144,8;154,0;119,0
10:15;146,0;162,6;117,3
10:30;147,2;170,5;116,2
10:45;148,4;178,0;115,7
11:00;149,8;185,6;115,7
11:15;151,5;193,3;116,1
11:30;153,5;200,6;117,0
11:45;156,0;206,6;118,7
12:00;159,0;210,6;121,5
12:15;162,4;211,8;125,4
12:30;165,8;210,2;129,6
12:45;168,4;205,9;133,0
13:00;169,8;198,9;134,8
13:15;169,4;189,6;134,2
13:30;167,6;178,7;131,7
13:45;164,8;167,3;128,0
14:00;161,5;156,5;124,0
14:15;158,1;147,0;120,2
14:30;154,9;138,9;116,8
14:45;151,8;132,1;113,7
15:00;149,0;126,5;110,7
15:15;146,5;122,0;107,9
15:30;144,4;118,1;105,5
15:45;142,7;114,8;103,5
16:00;141,5;111,5;102,4
16:15;140,9;108,3;102,2
16:30;141,7;105,9;103,2
16:45;144,9;105,2;105,6
17:00;151,5;107,4;109,9
17:15;161,9;112,9;116,0
17:30;174,6;120,9;123,7
17:45;187,4;130,0;132,6
18:00;198,1;139,0;142,3
18:15;205,2;146,8;152,4
18:30;209,1;153,5;162,2
18:45;211,1;159,7;171,2
19:00;212,2;165,6;178,9
19:15;213,2;171,5;184,7
19:30;213,0;176,4;188,2
19:45;210,4;179,1;188,9
20:00;203,9;178,1;186,4
20:15;192,9;172,9;180,7
20:30;179,0;164,7;172,7
20:45;164,4;155,6;163,9
21:00;151,5;147,3;155,6
21:15;141,9;141,4;148,9
21:30;135,3;137,2;143,4
21:45;131,0;133,7;138,4
22:00;128,2;129,8;133,2
22:15;126,1;124,8;127,2
22:30;124,1;118,6;120,5
22:45;121,6;111,6;113,3
23:00;118,2;104,0;105,7
23:15;113,4;96,2;98,0
23:30;107,4;88,4;90,2
23:45;100,8;80,7;82,5
0:00;94,1;73,2;74,9
