;Samstag;Sonntag;Werktag
0:15;120,3;140,1;116,7
0:30;112,65;130,2;104,4
0:45;106,05;121,8;93,6
1:00;99,9;113,55;84,9
1:15;93,45;105,15;78,75
1:30;87;96,75;74,55
1:45;81,15;88,95;71,85
2:00;76,2;82,35;69,9
2:15;72,6;77,55;68,25
2:30;70,2;74,1;66,75
2:45;68,55;71,7;65,7
3:00;67,35;69,9;64,95
3:15;66,6;68,25;64,5
3:30;65,85;66,75;64,5
3:45;65,25;65,7;64,65
4:00;64,95;64,95;64,95
4:15;64,65;64,65;65,1
4:30;64,65;64,65;65,55
4:45;64,65;64,8;66,3
5:00;64,95;64,95;67,35
5:15;65,4;64,95;69,45
5:30;66,3;64,95;73,35
5:45;68,1;64,8;80,55
6:00;71,1;64,95;92,4
6:15;75,75;65,25;109,35
6:30;82,35;66,45;129,45
6:45;91,05;69;150,15
7:00;102,3;73,65;168,6
7:15;116,25;80,85;182,7
7:30;131,85;90,6;192,75
7:45;147,9;103,2;199,35
8:00;163,5;118,65;203,55
8:15;177,6;136,65;205,8
8:30;190,05;156,45;206,55
8:45;200,7;177;206,55
9:00;209,7;197,25;205,95
9:15;217,05;216,3;205,35
9:30;223,2;233,25;204,6
9:45;228,6;247,95;203,55
10:00;233,4;259,65;202,2
10:15;238,35;268,2;200,55
10:30;243;274,65;198,6
10:45;247,35;280,5;197,1
11:00;250,95;287,1;196,05
11:15;253,8;295,5;195,9
11:30;256,2;304,5;197,25
11:45;258,75;312,75;200,4
12:00;262,2;318,3;205,95
12:15;266,55;320,25;213,9
12:30;271,2;317,7;222,3
12:45;274,65;310,5;229,2
13:00;275,85;298,35;232,2
13:15;274,05;281,4;229,8
13:30;269,7;261,9;223,35
13:45;263,7;242,55;214,8
14:00;257,25;225,9;205,95
14:15;250,8;214,2;198,6
14:30;244,65;206,4;192,6
14:45;238,8;200,85;187,2
15:00;233,4;196,05;182,25
15:15;228,45;190,65;177,15
15:30;224,25;184,65;172,2
15:45;220,8;178,5;167,55
16:00;218,55;172,35;163,5
16:15;217,5;166,5;160,35
16:30;218,1;161,55;158,55
16:45;220,05;158,4;158,25
17:00;223,5;157,35;159,75
17:15;228,45;159;163,65
17:30;234,6;163,2;169,65
17:45;242,25;169,8;177,45
18:00;250,95;178,5;187,2
18:15;260,55;189;198,6
18:30;270,6;200,55;210,9
18:45;280,05;212,25;223,65
19:00;288,45;223,5;235,95
19:15;294,75;233,25;247,35
19:30;298,5;240,9;256,65
19:45;299,1;245,4;262,8
20:00;295,95;246;264,75
20:15;288,6;242,25;261,75
20:30;277,8;235,65;255,75
20:45;264,9;228,3;248,55
21:00;250,95;222,3;242,25
21:15;236,85;218,85;238,35
21:30;224,25;217,05;235,8
21:45;214,35;215,4;233,1
22:00;208,5;212,25;228,45
22:15;207,45;206,25;220,8
22:30;208,8;197,7;210,45
22:45;209,25;187,05;198,15
23:00;205,95;174,75;184,8
23:15;196,65;161,4;171
23:30;182,85;147,6;157,2
23:45;167,25;133,8;143,4
0:00;152,25;121,05;129,9

