;Samstag;Sonntag;Werktag
0:15;134,7;150,15;129,45
0:30;127,35;138,75;115,35
0:45;121,05;128,85;103,2
1:00;114,9;119,85;93,6
1:15;107,55;111,15;87
1:30;99,9;103,05;82,95
1:45;92,4;95,85;80,4
2:00;86,1;89,85;78,6
2:15;81,75;85,5;76,95
2:30;78,9;82,5;75,45
2:45;77,1;80,25;73,8
3:00;76,2;78,6;72,45
3:15;75,45;77,25;71,25
3:30;75;76,2;70,35
3:45;74,85;75,3;69,75
4:00;74,85;74,85;69,9
4:15;75,15;74,85;70,65
4:30;75,6;75;72
4:45;76,05;75,15;73,95
5:00;76,2;74,85;76,2
5:15;76,2;74,25;79,05
5:30;76,35;73,35;83,4
5:45;77,4;72,6;90,75
6:00;79,95;72,45;102,3
6:15;84,3;73,05;118,8
6:30;90,6;74,7;138
6:45;98,7;77,85;157,05
7:00;108,6;82,35;173,55
7:15;120;88,8;185,25
7:30;132,75;97,35;192,9
7:45;146,1;108,45;198
8:00;159,75;122,4;202,2
8:15;173,4;139,35;206,7
8:30;186,6;158,4;211,05
8:45;199,2;178,5;214,8
9:00;211,05;198,45;217,2
9:15;221,7;217,2;217,95
9:30;231;234,3;217,35
9:45;238,35;249;215,7
10:00;243,45;261;213,45
10:15;246,15;270;211,2
10:30;247,05;276,9;209,25
10:45;247,5;283,05;207,75
11:00;248,4;289,65;207,3
11:15;250,65;297,45;207,9
11:30;254,1;305,55;210,15
11:45;258,6;313,05;213,9
12:00;263,4;318,3;219,75
12:15;268,5;320,55;227,25
12:30;272,85;319,2;235,05
12:45;275,55;313,5;241,05
13:00;275,85;303,45;243,45
13:15;273,15;288,6;240,75
13:30;268,05;271,35;234,15
13:45;261,15;253,8;225,3
14:00;253,5;238,5;216
14:15;245,55;227,1;207,6
14:30;238,35;219;200,4
14:45;231,9;212,4;194,1
15:00;227,25;205,95;188,55
15:15;224,4;198,6;183,6
15:30;222,9;190,5;179,4
15:45;222;182,4;176,1
16:00;220,95;174,75;173,55
16:15;219,3;168,3;171,9
16:30;217,5;163,35;171,3
16:45;216,15;160,05;171,9
17:00;216;158,55;173,55
17:15;217,35;159,15;176,4
17:30;220,35;161,55;180,45
17:45;225;165,6;185,85
18:00;231;171;192,3
18:15;238,2;177,45;199,8
18:30;246;185,1;208,35
18:45;253,8;193,8;217,65
19:00;261;203,55;227,25
19:15;266,7;214,2;236,85
19:30;270,75;224,7;245,7
19:45;272,7;233,55;252,45
20:00;272,1;239,7;255,9
20:15;268,95;242,1;255,6
20:30;263,55;241,2;252,45
20:45;256,5;238,5;247,95
21:00;248,4;234,75;243,45
21:15;240,15;230,85;240,15
21:30;232,65;227,25;237,6
21:45;226,65;223,95;235,2
22:00;223,5;220,95;232,2
22:15;223,35;218,1;227,85
22:30;224,4;214,5;221,85
22:45;224,1;208,8;213,75
23:00;219,75;199,8;203,55
23:15;209,7;186,6;190,8
23:30;195,45;170,7;176,25
23:45;179,25;153,75;160,65
0:00;163,5;137,4;144,75

