;Samstag;Sonntag;Werktag
0:15;106,2;131,25;101,4
0:30;102,3;121,65;91,2
0:45;98,85;112,5;82,35
1:00;94,95;103,65;74,85
1:15;89,25;95,1;69,3
1:30;82,5;87,3;65,4
1:45;75,75;80,4;62,85
2:00;69,9;74,85;61,2
2:15;65,85;70,95;60,15
2:30;63,45;68,25;59,4
2:45;62,1;66,3;59,1
3:00;61,2;64,95;58,65
3:15;60,45;63,6;58,2
3:30;59,85;62,25;57,9
3:45;59,25;61,05;57,45
4:00;58,65;60;57,45
4:15;58,2;58,95;57,6
4:30;57,75;58,2;58,2
4:45;57,45;57,75;58,95
5:00;57,45;57,45;60
5:15;57,75;57,45;61,35
5:30;58,65;57,6;64,65
5:45;60,45;58,05;71,55
6:00;63,6;58,65;83,7
6:15;68,4;59,55;102
6:30;74,85;60,6;124,2
6:45;82,95;61,95;147
7:00;92,4;63,6;167,25
7:15;103,35;66;182,4
7:30;115,65;69,9;192,75
7:45;129,15;76,65;199,05
8:00;143,55;87,45;202,2
8:15;158,7;102,9;203,1
8:30;173,7;121,95;202,2
8:45;187,35;142,8;199,65
9:00;198,45;163,5;196,05
9:15;206,4;182,85;191,55
9:30;211,65;200,55;186,9
9:45;214,95;216,6;182,25
10:00;217,2;231;178,5
10:15;219;243,9;175,95
10:30;220,8;255,75;174,3
10:45;222,6;267;173,55
11:00;224,7;278,4;173,55
11:15;227,25;289,95;174,15
11:30;230,25;300,9;175,5
11:45;234;309,9;178,05
12:00;238,5;315,9;182,25
12:15;243,6;317,7;188,1
12:30;248,7;315,3;194,4
12:45;252,6;308,85;199,5
13:00;254,7;298,35;202,2
13:15;254,1;284,4;201,3
13:30;251,4;268,05;197,55
13:45;247,2;250,95;192
14:00;242,25;234,75;186
14:15;237,15;220,5;180,3
14:30;232,35;208,35;175,2
14:45;227,7;198,15;170,55
15:00;223,5;189,75;166,05
15:15;219,75;183;161,85
15:30;216,6;177,15;158,25
15:45;214,05;172,2;155,25
16:00;212,25;167,25;153,6
16:15;211,35;162,45;153,3
16:30;212,55;158,85;154,8
16:45;217,35;157,8;158,4
17:00;227,25;161,1;164,85
17:15;242,85;169,35;174
17:30;261,9;181,35;185,55
17:45;281,1;195;198,9
18:00;297,15;208,5;213,45
18:15;307,8;220,2;228,6
18:30;313,65;230,25;243,3
18:45;316,65;239,55;256,8
19:00;318,3;248,4;268,35
19:15;319,8;257,25;277,05
19:30;319,5;264,6;282,3
19:45;315,6;268,65;283,35
20:00;305,85;267,15;279,6
20:15;289,35;259,35;271,05
20:30;268,5;247,05;259,05
20:45;246,6;233,4;245,85
21:00;227,25;220,95;233,4
21:15;212,85;212,1;223,35
21:30;202,95;205,8;215,1
21:45;196,5;200,55;207,6
22:00;192,3;194,7;199,8
22:15;189,15;187,2;190,8
22:30;186,15;177,9;180,75
22:45;182,4;167,4;169,95
23:00;177,3;156;158,55
23:15;170,1;144,3;147
23:30;161,1;132,6;135,3
23:45;151,2;121,05;123,75
0:00;141,15;109,8;112,35
