;Samstag;Sonntag;Werktag
00:15;0;0;0
00:30;0;0;0
00:45;50;50;50
01:00;0;0;0
01:15;0;0;0
01:30;50;50;50
01:45;0;0;0
02:00;0;0;0
02:15;50;50;50
02:30;0;0;0
02:45;0;0;0
03:00;50;50;50
03:15;0;0;0
03:30;0;0;0
03:45;50;50;50
04:00;0;0;0
04:15;0;0;0
04:30;50;50;50
04:45;0;0;0
05:00;0;0;0
05:15;50;50;50
05:30;0;0;0
05:45;0;0;0
06:00;50;50;50
06:15;0;0;0
06:30;0;0;0
06:45;50;50;50
07:00;0;0;0
07:15;0;0;0
07:30;50;50;50
07:45;0;0;0
08:00;0;0;0
08:15;50;50;50
08:30;0;0;0
08:45;0;0;0
09:00;50;50;50
09:15;0;0;0
09:30;0;0;0
09:45;50;50;50
10:00;0;0;0
10:15;0;0;0
10:30;50;50;50
10:45;0;0;0
11:00;0;0;0
11:15;50;50;50
11:30;0;0;0
11:45;0;0;0
12:00;50;50;50
12:15;0;0;0
12:30;0;0;0
12:45;50;50;50
13:00;1000;0;0
13:15;1000;0;0
13:30;60;70;50
13:45;10;20;0
14:00;10;20;0
14:15;60;70;50
14:30;10;20;0
14:45;10;20;0
15:00;60;70;50
15:15;10;20;0
15:30;10;20;0
15:45;70;70;50
16:00;10;20;0
16:15;60;60;50
16:30;0;20;0
16:45;0;20;0
17:00;50;70;50
17:15;0;10;0
17:30;0;0;0
17:45;50;50;50
18:00;40;40;40
18:15;40;40;40
18:30;50;50;50
18:45;20;0;0
19:00;20;0;0
19:15;70;50;50
19:30;20;0;0
19:45;20;0;0
20:00;70;50;50
20:15;30;0;0
20:30;30;0;0
20:45;80;50;50
21:00;30;0;0
21:15;30;0;0
21:30;80;50;50
21:45;20;0;0
22:00;20;0;0
22:15;70;50;50
22:30;0;0;0
22:45;0;0;0
23:00;50;50;50
23:15;0;0;0
23:30;0;0;0
23:45;50;50;50
00:00;0;0;0
