;Samstag;Sonntag;Werktag
0:15;115;115;115
0:30;25;25;25
0:45;25;25;25
1:00;115;115;115
1:15;25;25;25
1:30;25;25;25
1:45;115;115;115
2:00;25;25;25
2:15;25;25;25
2:30;115;115;115
2:45;25;25;25
3:00;25;25;25
3:15;115;115;115
3:30;25;25;25
3:45;25;25;25
4:00;115;115;115
4:15;25;25;25
4:30;25;25;25
4:45;115;115;115
5:00;25;25;25
5:15;25;25;25
5:30;115;115;115
5:45;25;25;25
6:00;25;25;25
6:15;115;115;115
6:30;25;25;25
6:45;25;25;25
7:00;102,3;73,65;168,6
7:15;116,25;80,85;182,7
7:30;131,85;90,6;192,75
7:45;147,9;103,2;199,35
8:00;150;150;22
8:15;60;60;22
8:30;60;60;110
8:45;150;150;22
9:00;60;60;22
9:15;60;60;110
9:30;150;150;22
9:45;60;60;22
10:00;60;60;110
10:15;150;150;22
10:30;60;60;22
10:45;60;60;110
11:00;150;150;22
11:15;60;60;22
11:30;60;60;110
11:45;150;150;22
12:00;60;60;22
12:15;60;60;110
12:30;150;150;22
12:45;60;60;22
13:00;2730;2730;110
13:15;473,15;473,15;22
13:30;330;330;22
13:45;330;330;110
14:00;530;530;22
14:15;330;330;22
14:30;200;200;110
14:45;110;110;22
15:00;110;110;22
15:15;200;200;110
15:30;110;110;22
15:45;110;110;22
16:00;200;200;110
16:15;110;110;22
16:30;110;110;22
16:45;200;200;110
17:00;110;110;22
17:15;110;110;22
17:30;200;200;110
17:45;110;110;177,45
18:00;1730;1730;1730
18:15;1030;1030;1030
18:30;270,6;200,55;210,9
18:45;1540;1540;1540
19:00;540;540;540
19:15;550;550;550
19:30;560;560;560
19:45;299,1;245,4;262,8
20:00;295,95;246;264,75
20:15;288,6;242,25;261,75
20:30;277,8;235,65;255,75
20:45;264,9;228,3;248,55
21:00;250,95;222,3;242,25
21:15;236,85;218,85;238,35
21:30;224,25;217,05;235,8
21:45;214,35;215,4;233,1
22:00;208,5;212,25;228,45
22:15;207,45;206,25;220,8
22:30;208,8;197,7;210,45
22:45;209,25;187,05;198,15
23:00;205,95;174,75;184,8
23:15;196,65;161,4;171
23:30;182,85;147,6;157,2
23:45;167,25;133,8;143,4
0:00;152,25;121,05;129,9
