;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;92,4;63,6;167,25
07:15;103,35;66;182,4
07:30;115,65;69,9;192,75
07:45;129,15;76,65;199,05
08:00;160;160;116
08:15;70;70;26
08:30;70;70;26
08:45;160;160;116
09:00;70;70;26
09:15;70;70;26
09:30;160;160;116
09:45;70;70;26
10:00;70;70;26
10:15;160;160;116
10:30;70;70;26
10:45;70;70;26
11:00;160;160;116
11:15;70;70;26
11:30;70;70;26
11:45;160;160;116
12:00;70;70;26
12:15;70;70;26
12:30;160;160;116
12:45;70;70;26
13:00;2170;2170;26
13:15;130;130;116
13:30;240;240;26
13:45;140;140;26
14:00;140;140;116
14:15;250;250;26
14:30;160;160;26
14:45;170;170;116
15:00;110;110;26
15:15;180;180;26
15:30;160;160;116
15:45;160;160;26
16:00;180;180;26
16:15;90;90;116
16:30;90;90;26
16:45;200;200;26
17:00;110;110;116
17:15;110;110;26
17:30;200;200;26
17:45;110;110;198,9
18:00;1600;1600;1600
18:15;500;500;500
18:30;243,3;243,3;243,3
18:45;2200;2200;2125
19:00;280;280;130
19:15;190;190;210
19:30;190;190;140
19:45;300;300;140
20:00;2100;2100;2115
20:15;287,67;257,67;253,55
20:30;266,82;245,37;241,25
20:45;244,92;231,72;227,6
21:00;225,57;219,27;215,15
21:15;211,17;210,42;206,3
21:30;201,27;204,12;200
21:45;194,82;198,87;194,75
22:00;190,62;193,02;188,9
22:15;187,47;185,52;181,4
22:30;184,47;176,22;172,1
22:45;180,72;165,72;161,6
23:00;175,62;154,32;150,2
23:15;168,42;142,62;138,5
23:30;159,42;130,92;126,8
23:45;149,52;119,37;115,25
00:00;139,47;108,12;104
