;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;108,6;82,35;173,55
07:15;120;88,8;185,25
07:30;132,75;97,35;192,9
07:45;146,1;108,45;198
08:00;140;140;116
08:15;50;50;26
08:30;50;50;26
08:45;140;140;116
09:00;50;50;26
09:15;50;50;26
09:30;140;140;116
09:45;50;50;26
10:00;50;50;26
10:15;140;140;116
10:30;50;50;26
10:45;50;50;26
11:00;140;140;116
11:15;50;50;26
11:30;50;50;26
11:45;140;140;116
12:00;250;250;26
12:15;250;250;26
12:30;140;140;116
12:45;50;50;26
13:00;50;50;26
13:15;140;140;116
13:30;50;50;26
13:45;50;50;26
14:00;140;140;116
14:15;50;50;26
14:30;50;50;26
14:45;140;140;116
15:00;90;50;26
15:15;150;50;26
15:30;130;150;116
15:45;130;130;26
16:00;150;130;26
16:15;60;150;116
16:30;60;90;26
16:45;180;90;26
17:00;90;180;116
17:15;90;90;26
17:30;180;90;26
17:45;90;180;185,85
18:00;1600;1600;1600
18:15;300;300;300
18:30;246;185,1;208,35
18:45;2200;2200;2100
19:00;260;260;95
19:15;150;150;200
19:30;150;150;95
19:45;260;260;95
20:00;2070;2070;2100
20:15;2342,25;2315,4;249,6
20:30;286,85;264,5;246,45
20:45;279,8;261,8;241,95
21:00;271,7;258,05;237,45
21:15;263,45;254,15;234,15
21:30;255,95;250,55;231,6
21:45;249,95;247,25;229,2
22:00;256,8;254,25;226,2
22:15;196,65;191,4;221,85
22:30;197,7;187,8;215,85
22:45;197,4;182,1;207,75
23:00;193,05;173,1;197,55
23:15;183;159,9;184,8
23:30;168,75;144;170,25
23:45;152,55;127,05;154,65
00:00;136,8;110,7;138,75
