;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;92,4;63,6;167,25
07:15;103,35;66;182,4
07:30;115,65;69,9;192,75
07:45;129,15;76,65;199,05
08:00;160;160;116
08:15;70;70;26
08:30;70;70;26
08:45;160;160;116
09:00;70;70;26
09:15;70;70;26
09:30;160;160;116
09:45;70;70;26
10:00;70;70;26
10:15;160;160;116
10:30;70;70;26
10:45;70;70;26
11:00;160;160;116
11:15;70;70;26
11:30;70;70;26
11:45;160;160;116
12:00;270;270;26
12:15;270;270;26
12:30;160;160;116
12:45;70;70;26
13:00;70;70;26
13:15;160;160;116
13:30;70;70;26
13:45;70;70;26
14:00;160;160;116
14:15;70;70;26
14:30;70;70;26
14:45;170;170;116
15:00;80;80;26
15:15;80;80;26
15:30;180;180;116
15:45;160;160;26
16:00;160;160;26
16:15;190;190;116
16:30;100;100;26
16:45;100;100;26
17:00;200;200;116
17:15;110;110;26
17:30;110;110;26
17:45;200;200;198,9
18:00;1600;1600;1600
18:15;500;500;500
18:30;243,3;243,3;243,3
18:45;2200;2200;2125
19:00;280;280;130
19:15;190;190;210
19:30;190;190;140
19:45;300;300;140
20:00;2100;2100;2115
20:15;2432,67;2402,67;256,95
20:30;371,82;350,37;244,95
20:45;459,92;446,72;231,75
21:00;340,57;334,27;219,3
21:15;326,17;325,42;209,25
21:30;426,27;429,12;201
21:45;329,82;333,87;193,5
22:00;335,62;338,02;185,7
22:15;162,47;160,52;176,7
22:30;159,47;151,22;166,65
22:45;155,72;140,72;155,85
23:00;150,62;129,32;144,45
23:15;143,42;117,62;132,9
23:30;134,42;105,92;121,2
23:45;124,52;94,37;109,65
00:00;114,47;83,12;98,25
