;Samstag;Sonntag;Werktag
00:15;115;115;115
00:30;25;25;25
00:45;25;25;25
01:00;115;115;115
01:15;25;25;25
01:30;25;25;25
01:45;115;115;115
02:00;25;25;25
02:15;25;25;25
02:30;115;115;115
02:45;25;25;25
03:00;25;25;25
03:15;115;115;115
03:30;25;25;25
03:45;25;25;25
04:00;115;115;115
04:15;25;25;25
04:30;25;25;25
04:45;115;115;115
05:00;25;25;25
05:15;25;25;25
05:30;115;115;115
05:45;25;25;25
06:00;25;25;25
06:15;115;115;115
06:30;25;25;25
06:45;25;25;25
07:00;102,3;73,65;168,6
07:15;116,25;80,85;182,7
07:30;131,85;90,6;192,75
07:45;147,9;103,2;199,35
08:00;400;400;272
08:15;310;310;272
08:30;310;310;360
08:45;400;400;272
09:00;310;310;272
09:15;310;310;360
09:30;400;400;272
09:45;310;310;272
10:00;310;310;360
10:15;400;400;272
10:30;310;310;272
10:45;310;310;360
11:00;400;400;272
11:15;310;310;272
11:30;310;310;360
11:45;400;400;272
12:00;310;310;272
12:15;310;310;360
12:30;400;400;272
12:45;310;310;272
13:00;310;310;360
13:15;400;400;272
13:30;310;310;272
13:45;310;310;360
14:00;400;400;272
14:15;310;310;272
14:30;310;310;360
14:45;400;400;272
15:00;320;320;272
15:15;320;320;360
15:30;410;410;272
15:45;340;340;272
16:00;340;340;360
16:15;430;430;272
16:30;350;350;272
16:45;360;360;360
17:00;450;450;272
17:15;360;360;272
17:30;110;110;110
17:45;200;200;177,45
18:00;1600;1600;1600
18:15;450;450;450
18:30;270,6;200,55;210,9
18:45;2210;2210;2140
19:00;280;280;200
19:15;190;190;110
19:30;190;190;110
19:45;280;280;200
20:00;2100;2100;2100
20:15;2448,6;2402,25;261,75
20:30;527,8;485,65;255,75
20:45;404,9;368,3;248,55
21:00;390,95;362,3;242,25
21:15;486,85;468,85;238,35
21:30;364,25;357,05;235,8
21:45;364,35;365,4;233,1
22:00;408,5;412,25;228,45
22:15;207,45;206,25;220,8
22:30;208,8;197,7;210,45
22:45;209,25;187,05;198,15
23:00;205,95;174,75;184,8
23:15;196,65;161,4;171
23:30;182,85;147,6;157,2
23:45;167,25;133,8;143,4
00:00;152,25;121,05;129,9
