;Samstag;Sonntag;Werktag
00:15;115;115;115
00:30;25;25;25
00:45;25;25;25
01:00;115;115;115
01:15;25;25;25
01:30;25;25;25
01:45;115;115;115
02:00;25;25;25
02:15;25;25;25
02:30;115;115;115
02:45;25;25;25
03:00;25;25;25
03:15;115;115;115
03:30;25;25;25
03:45;25;25;25
04:00;115;115;115
04:15;25;25;25
04:30;25;25;25
04:45;115;115;115
05:00;25;25;25
05:15;25;25;25
05:30;115;115;115
05:45;25;25;25
06:00;25;25;25
06:15;115;115;115
06:30;25;25;25
06:45;25;25;25
07:00;92,4;63,6;167,25
07:15;103,35;66;182,4
07:30;115,65;69,9;192,75
07:45;129,15;76,65;199,05
08:00;410;410;365
08:15;320;320;275
08:30;320;320;275
08:45;410;410;365
09:00;320;320;275
09:15;320;320;275
09:30;410;410;365
09:45;320;320;275
10:00;320;320;275
10:15;410;410;365
10:30;320;320;275
10:45;320;320;275
11:00;410;410;365
11:15;320;320;275
11:30;320;320;275
11:45;410;410;365
12:00;320;320;275
12:15;320;320;275
12:30;410;410;365
12:45;320;320;275
13:00;320;320;275
13:15;410;410;365
13:30;320;320;275
13:45;320;320;275
14:00;410;410;365
14:15;320;320;275
14:30;320;320;275
14:45;420;420;365
15:00;330;330;275
15:15;330;330;275
15:30;430;430;365
15:45;340;340;275
16:00;340;340;275
16:15;440;440;365
16:30;350;350;275
16:45;350;350;275
17:00;450;450;365
17:15;360;360;275
17:30;110;110;25
17:45;200;200;198,9
18:00;1600;1600;1600
18:15;500;500;500
18:30;243,3;243,3;243,3
18:45;2200;2200;2125
19:00;280;280;130
19:15;190;190;210
19:30;190;190;140
19:45;300;300;140
20:00;2100;2100;2115
20:15;2459,35;2429,35;271,05
20:30;398,5;377,05;259,05
20:45;486,6;473,4;245,85
21:00;367,25;360,95;233,4
21:15;352,85;352,1;223,35
21:30;452,95;455,8;215,1
21:45;356,5;360,55;207,6
22:00;362,3;364,7;199,8
22:15;189,15;187,2;190,8
22:30;186,15;177,9;180,75
22:45;182,4;167,4;169,95
23:00;177,3;156;158,55
23:15;170,1;144,3;147
23:30;161,1;132,6;135,3
23:45;151,2;121,05;123,75
00:00;141,15;109,8;112,35
