;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;102,3;73,65;168,6
07:15;116,25;80,85;182,7
07:30;131,85;90,6;192,75
07:45;147,9;103,2;199,35
08:00;150;150;25
08:15;60;60;25
08:30;60;60;116
08:45;150;150;26
09:00;60;60;26
09:15;60;60;116
09:30;150;150;26
09:45;60;60;26
10:00;60;60;116
10:15;150;150;26
10:30;60;60;26
10:45;60;60;116
11:00;150;150;26
11:15;60;60;26
11:30;65;65;116
11:45;150;150;26
12:00;265;265;26
12:15;265;265;116
12:30;150;150;26
12:45;65;65;26
13:00;2160;2160;116
13:15;250;250;26
13:30;140;140;26
13:45;140;140;116
14:00;250;250;26
14:15;140;140;26
14:30;150;150;116
14:45;200;200;26
15:00;70;70;26
15:15;160;160;116
15:30;140;140;26
15:45;140;140;26
16:00;180;180;116
16:15;90;90;26
16:30;90;90;26
16:45;200;200;116
17:00;1600;1600;1600
17:15;450;450;450
17:30;270,6;200,55;210,9
17:45;2210;2210;2140
18:00;280;280;200
18:15;190;190;110
18:30;190;190;110
18:45;280;280;200
19:00;2100;2100;2100
19:15;286,92;240,57;235,26
19:30;276,12;233,97;228,66
19:45;263,22;226,62;221,31
20:00;249,27;220,62;215,31
20:15;235,17;217,17;211,86
20:30;222,57;215,37;210,06
20:45;212,67;213,72;208,41
21:00;206,82;210,57;205,26
21:15;205,77;204,57;199,26
21:30;207,12;196,02;190,71
21:45;207,57;185,37;180,06
22:00;204,27;173,07;167,76
22:15;194,97;159,72;154,41
22:30;181,17;145,92;140,61
22:45;165,57;132,12;126,81
23:00;150,57;119,37;114,06
23:15;110;110;26
23:30;110;110;26
23:45;200;200;130
00:00;110;110;177,45
