;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;108,6;82,35;173,55
07:15;120;88,8;185,25
07:30;132,75;97,35;192,9
07:45;146,1;108,45;198
08:00;140;140;116
08:15;50;50;26
08:30;50;50;26
08:45;140;140;116
09:00;50;50;26
09:15;50;50;26
09:30;140;140;116
09:45;50;50;26
10:00;50;50;26
10:15;140;140;116
10:30;50;50;26
10:45;50;50;26
11:00;140;140;116
11:15;50;50;26
11:30;50;50;26
11:45;140;140;116
12:00;250;250;26
12:15;250;250;26
12:30;140;140;116
12:45;50;50;26
13:00;2150;2150;26
13:15;190;190;116
13:30;100;100;26
13:45;100;100;26
14:00;190;190;116
14:15;100;100;26
14:30;100;100;26
14:45;200;200;116
15:00;90;90;26
15:15;150;150;26
15:30;130;130;116
15:45;130;130;26
16:00;1600;1600;1600
16:15;300;300;300
16:30;246;185,1;208,35
16:45;2200;2200;2100
17:00;260;260;95
17:15;150;150;200
17:30;150;150;95
17:45;260;260;95
18:00;2070;2070;2100
18:15;267,28;240,42;250,92
18:30;261,88;239,52;247,77
18:45;254,83;236,82;243,27
19:00;246,73;233,07;238,77
19:15;238,48;229,17;235,47
19:30;230,98;225,57;232,92
19:45;224,98;222,27;230,52
20:00;221,83;219,27;227,52
20:15;221,68;216,42;223,17
20:30;222,73;212,82;217,17
20:45;222,43;207,12;209,07
21:00;218,08;198,12;198,87
21:15;208,03;184,92;186,12
21:30;193,78;169,02;171,57
21:45;177,58;152,07;155,97
22:00;141,83;115,72;140,07
22:15;90;90;116
22:30;90;90;26
22:45;180;180;26
23:00;90;90;185,85
23:15;150;150;26
23:30;60;60;116
23:45;60;60;26
00:00;180;180;26
