;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;102,3;73,65;168,6
07:15;116,25;80,85;182,7
07:30;131,85;90,6;192,75
07:45;147,9;103,2;199,35
08:00;150;150;26
08:15;60;60;26
08:30;60;60;116
08:45;150;150;26
09:00;60;60;26
09:15;60;60;116
09:30;150;150;26
09:45;60;60;26
10:00;60;60;116
10:15;150;150;26
10:30;60;60;26
10:45;60;150;116
11:00;150;60;26
11:15;60;60;26
11:30;2160;2160;116
11:45;230;230;26
12:00;340;340;2140
12:15;340;340;200
12:30;230;230;110
12:45;2050;2050;110
13:00;2160;2160;200
13:15;250;250;2100
13:30;140;140;26
13:45;140;140;116
14:00;250;250;26
14:15;140;140;26
14:30;150;150;116
14:45;200;200;26
15:00;70;70;26
15:15;160;160;116
15:30;140;140;26
15:45;140;140;26
16:00;180;180;116
16:15;90;90;26
16:30;90;90;26
16:45;200;200;116
17:00;110;110;26
17:15;110;110;26
17:30;200;200;116
17:45;110;110;70
18:00;1600;1600;1600
18:15;450;450;450
18:30;270,6;200,55;210,9
18:45;2210;110;26
19:00;280;200;116
19:15;190;110;26
19:30;190;110;26
19:45;280;200;116
20:00;2100;110;222
20:15;263,6;217,25;221,75
20:30;252,8;210,65;215,75
20:45;239,9;203,3;208,55
21:00;225,95;197,3;202,25
21:15;211,85;193,85;198,35
21:30;199,25;192,05;195,8
21:45;189,35;190,4;193,1
22:00;183,5;187,25;188,45
22:15;182,45;181,25;180,8
22:30;183,8;172,7;170,45
22:45;184,25;162,05;158,15
23:00;180,95;149,75;144,8
23:15;171,65;136,4;131
23:30;157,85;122,6;117,2
23:45;142,25;108,8;103,4
00:00;127,25;96,05;89,9
