;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;108,6;82,35;173,55
07:15;120;88,8;185,25
07:30;132,75;97,35;192,9
07:45;146,1;108,45;198
08:00;140;140;116
08:15;50;50;26
08:30;50;50;26
08:45;140;140;116
09:00;50;50;26
09:15;50;50;26
09:30;140;140;116
09:45;50;50;26
10:00;50;50;26
10:15;140;140;116
10:30;50;50;26
10:45;50;50;26
11:00;140;140;116
11:15;50;50;26
11:30;2160;2160;26
11:45;220;220;116
12:00;310;310;2100
12:15;310;310;95
12:30;220;220;200
12:45;2030;2030;95
13:00;2150;2150;95
13:15;190;190;2100
13:30;100;100;26
13:45;100;100;26
14:00;190;190;116
14:15;100;100;26
14:30;100;100;26
14:45;200;200;116
15:00;90;90;26
15:15;150;150;26
15:30;130;130;116
15:45;130;130;26
16:00;150;150;26
16:15;60;60;116
16:30;60;60;26
16:45;180;180;26
17:00;90;90;116
17:15;90;90;26
17:30;180;180;26
17:45;90;90;80
18:00;1600;1600;1600
18:15;300;300;300
18:30;246;185,1;208,35
18:45;2200;90;26
19:00;260;180;26
19:15;150;90;116
19:30;150;90;26
19:45;260;180;26
20:00;2070;90;116
20:15;243,95;222,1;215,6
20:30;238,55;216,2;212,45
20:45;231,5;213,5;207,95
21:00;223,4;209,75;203,45
21:15;215,15;205,85;200,15
21:30;207,65;202,25;197,6
21:45;201,65;198,95;195,2
22:00;198,5;195,95;192,2
22:15;198,35;193,1;187,85
22:30;199,4;189,5;181,85
22:45;199,1;183,8;173,75
23:00;194,75;174,8;163,55
23:15;184,7;161,6;150,8
23:30;170,45;145,7;136,25
23:45;154,25;128,75;120,65
00:00;138,5;112,4;104,75
