;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;92,4;63,6;167,25
07:15;103,35;66;182,4
07:30;115,65;69,9;192,75
07:45;129,15;76,65;199,05
08:00;160;160;116
08:15;70;70;26
08:30;70;70;26
08:45;160;160;116
09:00;70;70;26
09:15;70;70;26
09:30;160;160;116
09:45;70;70;26
10:00;70;70;26
10:15;160;160;116
10:30;70;70;26
10:45;70;70;26
11:00;160;160;116
11:15;70;70;26
11:30;2160;2160;26
11:45;240;240;116
12:00;350;350;2100
12:15;350;350;105
12:30;260;260;95
12:45;2060;2060;115
13:00;2170;2170;115
13:15;130;130;2000
13:30;240;240;26
13:45;140;140;26
14:00;140;140;116
14:15;250;250;26
14:30;160;160;26
14:45;170;170;116
15:00;110;110;26
15:15;180;180;26
15:30;160;160;116
15:45;160;160;26
16:00;180;180;26
16:15;90;90;116
16:30;90;90;26
16:45;200;200;26
17:00;110;110;116
17:15;110;110;26
17:30;200;200;26
17:45;110;110;80
18:00;1600;1600;1600
18:15;500;500;500
18:30;243,3;243,3;243,3
18:45;2200;110;26
19:00;280;200;26
19:15;190;110;116
19:30;190;110;26
19:45;300;200;26
20:00;2100;110;116
20:15;264,35;234,35;231,05
20:30;243,5;222,05;219,05
20:45;221,6;208,4;205,85
21:00;202,25;195,95;193,4
21:15;187,85;187,1;183,35
21:30;177,95;180,8;175,1
21:45;171,5;175,55;167,6
22:00;167,3;169,7;159,8
22:15;164,15;162,2;150,8
22:30;161,15;152,9;140,75
22:45;157,4;142,4;129,95
23:00;152,3;131;118,55
23:15;145,1;119,3;107
23:30;136,1;107,6;95,3
23:45;126,2;96,05;83,75
00:00;116,15;84,8;72,35
