;Samstag;Sonntag;Werktag
00:15;115;115;115
00:30;25;25;25
00:45;25;25;25
01:00;115;115;115
01:15;25;25;25
01:30;25;25;25
01:45;115;115;115
02:00;25;25;25
02:15;25;25;25
02:30;115;115;115
02:45;25;25;25
03:00;25;25;25
03:15;115;115;115
03:30;25;25;25
03:45;25;25;25
04:00;115;115;115
04:15;25;25;25
04:30;25;25;25
04:45;115;115;115
05:00;25;25;25
05:15;25;25;25
05:30;115;115;115
05:45;25;25;25
06:00;25;25;25
06:15;115;115;115
06:30;25;25;25
06:45;25;25;25
07:00;108,6;82,35;173,55
07:15;120;88,8;185,25
07:30;132,75;97,35;192,9
07:45;146,1;108,45;198
08:00;390;390;365
08:15;300;300;275
08:30;300;300;275
08:45;390;390;365
09:00;300;300;275
09:15;300;300;275
09:30;390;390;365
09:45;300;300;275
10:00;300;300;275
10:15;390;390;365
10:30;300;300;275
10:45;300;300;275
11:00;390;390;365
11:15;300;300;275
11:30;2410;2410;275
11:45;470;470;365
12:00;360;360;2350
12:15;360;360;345
12:30;470;470;450
12:45;2280;2280;345
13:00;2400;2400;345
13:15;440;440;2350
13:30;350;350;275
13:45;350;350;275
14:00;440;440;365
14:15;350;350;275
14:30;350;350;275
14:45;450;450;365
15:00;340;340;275
15:15;400;400;275
15:30;310;310;365
15:45;310;310;275
16:00;400;400;275
16:15;310;310;365
16:30;310;310;275
16:45;430;430;275
17:00;340;340;365
17:15;340;340;275
17:30;180;180;25
17:45;90;90;185,85
18:00;1600;1600;1600
18:15;300;300;300
18:30;246;185,1;208,35
18:45;2200;90;25
19:00;260;180;25
19:15;150;90;115
19:30;150;90;25
19:45;260;180;25
20:00;2070;90;115
20:15;268,95;242,1;255,6
20:30;263,55;241,2;252,45
20:45;256,5;238,5;247,95
21:00;248,4;234,75;243,45
21:15;240,15;230,85;240,15
21:30;232,65;227,25;237,6
21:45;226,65;223,95;235,2
22:00;223,5;220,95;232,2
22:15;223,35;218,1;227,85
22:30;224,4;214,5;221,85
22:45;224,1;208,8;213,75
23:00;219,75;199,8;203,55
23:15;209,7;186,6;190,8
23:30;195,45;170,7;176,25
23:45;179,25;153,75;160,65
00:00;163,5;137,4;144,75
