;Samstag;Sonntag;Werktag
00:15;155;155;125
00:30;75;75;35
00:45;55;55;35
01:00;125;125;125
01:15;35;35;35
01:30;35;35;35
01:45;125;125;125
02:00;35;35;35
02:15;35;35;35
02:30;125;125;125
02:45;35;35;35
03:00;35;35;35
03:15;125;125;125
03:30;35;35;35
03:45;35;35;35
04:00;125;125;125
04:15;35;35;35
04:30;35;35;35
04:45;125;125;125
05:00;35;35;35
05:15;35;35;35
05:30;125;125;125
05:45;35;35;35
06:00;35;35;35
06:15;125;125;125
06:30;35;35;35
06:45;35;35;35
07:00;107,3;78,65;173,6
07:15;121,25;85,85;187,7
07:30;136,85;95,6;197,75
07:45;242,9;198,2;204,35
08:00;65;65;55
08:15;65;65;65
08:30;155;155;155
08:45;65;65;115
09:00;65;65;115
09:15;155;155;205
09:30;65;65;115
09:45;65;65;115
10:00;155;155;205
10:15;65;65;115
10:30;65;65;115
10:45;155;155;205
11:00;65;65;115
11:15;65;65;115
11:30;160;160;205
11:45;65;65;115
12:00;270;270;385
12:15;360;360;435
12:30;65;65;115
12:45;70;70;115
13:00;2255;2255;205
13:15;165;165;115
13:30;145;145;115
13:45;235;235;205
14:00;165;165;115
14:15;145;145;115
14:30;345;345;205
14:45;215;215;115
15:00;75;75;115
15:15;165;165;205
15:30;145;145;115
15:45;145;145;115
16:00;185;185;205
16:15;95;95;115
16:30;95;95;115
16:45;205;205;205
17:00;115;115;115
17:15;115;115;115
17:30;205;205;215
17:45;115;115;305
18:00;1605;1605;1605
18:15;455;455;455
18:30;275,6;205,55;215,9
18:45;2315;2315;2145
19:00;285;285;205
19:15;195;195;115
19:30;195;195;115
19:45;285;285;205
20:00;2205;2205;2105
20:15;265;205;195
20:30;355;295;285
20:45;245;215;205
21:00;245;225;215
21:15;335;315;305
21:30;245;205;205
21:45;245;210;205
22:00;335;305;295
22:15;225;205;205
22:30;235;205;205
22:45;325;305;295
23:00;215;205;205
23:15;205;205;205
23:30;305;305;295
23:45;205;205;205
00:00;205;205;205
