;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;108,6;82,35;173,55
07:15;120;88,8;185,25
07:30;132,75;97,35;192,9
07:45;236,1;198,45;288
08:00;50;50;26
08:15;50;50;26
08:30;140;140;165
08:45;50;50;75
09:00;50;50;75
09:15;140;140;165
09:30;50;50;75
09:45;50;50;75
10:00;140;140;165
10:15;50;50;75
10:30;50;50;75
10:45;140;140;165
11:00;50;50;75
11:15;50;50;75
11:30;140;140;165
11:45;50;50;75
12:00;250;250;175
12:15;340;340;265
12:30;50;50;75
12:45;50;50;75
13:00;2240;2240;165
13:15;100;100;75
13:30;100;100;75
13:45;190;190;165
14:00;100;100;75
14:15;100;100;75
14:30;190;190;165
14:45;210;210;75
15:00;90;90;75
15:15;150;150;165
15:30;130;130;75
15:45;130;130;75
16:00;150;150;165
16:15;60;60;75
16:30;60;60;75
16:45;180;180;165
17:00;90;90;75
17:15;90;90;75
17:30;180;180;165
17:45;90;90;95,85
18:00;1600;1600;1600
18:15;300;300;300
18:30;246;185,1;208,35
18:45;2200;2200;2100
19:00;260;260;200
19:15;150;150;95
19:30;150;150;95
19:45;260;260;185
20:00;2070;2070;2010
20:15;230;190;190
20:30;320;280;280
20:45;220;180;200
21:00;220;180;200
21:15;310;270;290
21:30;200;190;200
21:45;200;190;200
22:00;290;280;290
22:15;180;180;180
22:30;190;180;190
22:45;280;270;280
23:00;170;170;170
23:15;160;160;160
23:30;260;260;260
23:45;160;160;160
00:00;160;160;160
