;Samstag;Sonntag;Werktag
00:15;155;155;125
00:30;55;55;35
00:45;45;45;35
01:00;125;125;125
01:15;35;35;35
01:30;35;35;35
01:45;125;125;125
02:00;35;35;35
02:15;35;35;35
02:30;125;125;125
02:45;35;35;35
03:00;35;35;35
03:15;125;125;125
03:30;35;35;35
03:45;35;35;35
04:00;125;125;125
04:15;35;35;35
04:30;35;35;35
04:45;125;125;125
05:00;35;35;35
05:15;35;35;35
05:30;125;125;125
05:45;35;35;35
06:00;35;35;50
06:15;125;125;140
06:30;35;35;50
06:45;35;35;50
07:00;113,6;87,35;193,55
07:15;125;93,8;205,25
07:30;137,75;102,35;212,9
07:45;241,1;203,45;308
08:00;75;75;80
08:15;75;75;80
08:30;175;175;215
08:45;85;85;120
09:00;85;85;120
09:15;155;155;210
09:30;65;65;120
09:45;65;65;120
10:00;155;155;210
10:15;65;65;120
10:30;65;65;120
10:45;155;155;210
11:00;65;65;120
11:15;65;65;120
11:30;155;155;210
11:45;65;65;120
12:00;265;265;320
12:15;355;355;410
12:30;65;65;120
12:45;65;65;120
13:00;2255;2255;210
13:15;115;115;120
13:30;115;115;120
13:45;205;205;210
14:00;115;115;120
14:15;115;115;120
14:30;205;205;210
14:45;325;325;120
15:00;105;105;120
15:15;165;165;210
15:30;145;145;120
15:45;145;145;120
16:00;165;165;210
16:15;75;75;120
16:30;75;75;120
16:45;205;205;210
17:00;115;115;130
17:15;115;115;130
17:30;205;205;220
17:45;115;115;245
18:00;1625;1625;1625
18:15;325;325;325
18:30;271;210,1;233,35
18:45;2325;2325;2125
19:00;285;285;225
19:15;175;175;120
19:30;175;175;120
19:45;265;265;210
20:00;2275;2275;2035
20:15;235;195;215
20:30;325;285;305
20:45;225;185;225
21:00;225;185;225
21:15;415;375;315
21:30;205;195;225
21:45;205;195;225
22:00;295;285;315
22:15;185;185;205
22:30;195;185;215
22:45;285;275;305
23:00;175;175;195
23:15;165;165;185
23:30;265;265;285
23:45;165;165;185
00:00;165;165;185
